,CIDADE,POPULAÇÃO,IDHM 2010
PR,Abatiá,7.233,"0,687"
PR,Adrianópolis,6.319,"0,667"
PR,Agudos do Sul,10.770,"0,66"
PR,Almirante Tamandaré,125.861,"0,699"
PR,Altamira do Paraná,3.496,"0,667"
PR,Altônia,18.634,"0,721"
PR,Alto Paraná,14.183,"0,678"
PR,Alto Piquiri,9.771,"0,696"
PR,Alvorada do Sul,10.481,"0,676"
PR,Amaporã,4.688,"0,708"
PR,Ampére,20.337,"0,669"
PR,Anahy,2.971,"0,709"
PR,Andirá,19.989,"0,695"
PR,Ângulo,3.357,"0,725"
PR,Antonina,18.140,"0,721"
PR,Antônio Olinto,7.048,"0,687"
PR,Apucarana,134.910,"0,656"
PR,Arapongas,124.838,"0,748"
PR,Arapoti,26.325,"0,748"
PR,Arapuã,3.573,"0,723"
PR,Araruna,14.894,"0,676"
PR,Araucária,162.247,"0,704"
PR,Ariranha do Ivaí,2.351,"0,74"
PR,Assaí,13.477,"0,67"
PR,Assis Chateaubriand,38.357,"0,728"
PR,Astorga,26.203,"0,729"
PR,Atalaia,4.046,"0,747"
PR,Balsa Nova,13.867,"0,736"
PR,Bandeirantes,31.747,"0,696"
PR,Barbosa Ferraz,10.580,"0,727"
PR,Barracão,9.903,"0,696"
PR,Barra do Jacaré,2.872,"0,706"
PR,Bela Vista da Caroba,4.122,"0,744"
PR,Bela Vista do Paraíso,14.982,"0,681"
PR,Bituruna,15.650,"0,716"
PR,Boa Esperança,4.595,"0,667"
PR,Boa Esperança do Iguaçu,2.421,"0,7"
PR,Boa Ventura de São Roque,6.241,"0,72"
PR,Boa Vista da Aparecida,8.023,"0,655"
PR,Bocaiúva do Sul,13.405,"0,67"
PR,Bom Jesus do Sul,4.072,"0,64"
PR,Bom Sucesso,6.674,"0,697"
PR,Bom Sucesso do Sul,3.244,"0,742"
PR,Borrazópolis,7.818,"0,686"
PR,Braganey,4.745,"0,717"
PR,Brasilândia do Sul,3.861,"0,701"
PR,Cafeara,2.648,"0,681"
PR,Cafelândia,20.145,"0,693"
PR,Cafezal do Sul,4.580,"0,748"
PR,Califórnia,8.963,"0,692"
PR,Cambará,23.393,"0,722"
PR,Cambé,110.923,"0,721"
PR,Cambira,10.045,"0,734"
PR,Campina da Lagoa,16.014,"0,725"
PR,Campina do Simão,3.954,"0,704"
PR,Campina Grande do Sul,50.600,"0,63"
PR,Campo Bonito,3.997,"0,718"
PR,Campo do Tenente,7.693,"0,681"
PR,Campo Largo,144.504,"0,686"
PR,Campo Magro,31.888,"0,745"
PR,Campo Mourão,104.122,"0,701"
PR,Cândido de Abreu,15.081,"0,757"
PR,Candói,15.174,"0,629"
PR,Cantagalo,10.672,"0,635"
PR,Capanema,21.088,"0,635"
PR,Capitão Leônidas Marques,14.776,"0,706"
PR,Carambeí,24.469,"0,716"
PR,Carlópolis,17.788,"0,728"
PR,Cascavel,368.195,"0,713"
PR,Castro,75.644,"0,782"
PR,Catanduvas,10.621,"0,703"
PR,Centenário do Sul,10.903,"0,678"
PR,Cerro Azul,16.287,"0,668"
PR,Céu Azul,11.255,"0,573"
PR,Chopinzinho,21.604,"0,732"
PR,Cianorte,82.988,"0,74"
PR,Cidade Gaúcha,11.705,"0,755"
PR,Clevelândia,14.833,"0,718"
PR,Colombo,241.672,"0,694"
PR,Colorado,23.313,"0,733"
PR,Congonhinhas,8.445,"0,73"
PR,Conselheiro Mairinck,3.474,"0,668"
PR,Contenda,20.006,"0,707"
PR,Corbélia,17.933,"0,681"
PR,Cornélio Procópio,45.720,"0,738"
PR,Coronel Domingos Soares,5.427,"0,759"
PR,Coronel Vivida,24.010,"0,6"
PR,Corumbataí do Sul,3.770,"0,723"
PR,Cruzeiro do Iguaçu,4.129,"0,638"
PR,Cruzeiro do Oeste,24.859,"0,709"
PR,Cruzeiro do Sul,4.543,"0,717"
PR,Cruz Machado,15.759,"0,713"
PR,Cruzmaltina,2.870,"0,664"
PR,Curitiba,1.830.795,"0,666"
PR,Curiúva,13.784,"0,823"
PR,Diamante do Norte,5.139,"0,656"
PR,Diamante do Sul,3.147,"0,644"
PR,Diamante D'Oeste,4.513,"0,723"
PR,Dois Vizinhos,47.589,"0,608"
PR,Douradina,9.631,"0,767"
PR,Doutor Camargo,6.517,"0,724"
PR,Enéas Marques,6.146,"0,746"
PR,Engenheiro Beltrão,12.347,"0,546"
PR,Esperança Nova,1.852,"0,752"
PR,Entre Rios do Oeste,4.770,"0,73"
PR,Espigão Alto do Iguaçu,4.880,"0,761"
PR,Farol,2.994,"0,689"
PR,Faxinal,16.596,"0,636"
PR,Fazenda Rio Grande,165.943,"0,715"
PR,Fênix,4.488,"0,687"
PR,Fernandes Pinheiro,6.400,"0,72"
PR,Figueira,8.129,"0,716"
PR,Floraí,4.805,"0,645"
PR,Flor da Serra do Sul,4.342,"0,677"
PR,Floresta,11.522,"0,745"
PR,Florestópolis,11.653,"0,682"
PR,Flórida,2.711,"0,736"
PR,Formosa do Oeste,7.763,"0,701"
PR,Foz do Iguaçu,297.352,"0,732"
PR,Francisco Alves,8.573,"0,723"
PR,Francisco Beltrão,102.312,"0,751"
PR,Foz do Jordão,4.893,"0,645"
PR,General Carneiro,10.691,"0,669"
PR,Godoy Moreira,2.911,"0,774"
PR,Goioerê,30.025,"0,652"
PR,Goioxim,6.469,"0,675"
PR,Grandes Rios,5.527,"0,731"
PR,Guaíra,33.058,"0,641"
PR,Guairaçá,6.762,"0,658"
PR,Guamiranga,7.916,"0,693"
PR,Guapirama,4.857,"0,724"
PR,Guaporema,2.210,"0,669"
PR,Guaraci,4.743,"0,702"
PR,Guaraniaçu,13.770,"0,719"
PR,Guarapuava,189.630,"0,698"
PR,Guaraqueçaba,7.446,"0,677"
PR,Guaratuba,44.913,"0,731"
PR,Honório Serpa,4.803,"0,587"
PR,Ibaiti,29.464,"0,717"
PR,Ibema,6.343,"0,683"
PR,Ibiporã,53.276,"0,71"
PR,Icaraíma,9.149,"0,685"
PR,Iguaraçu,5.693,"0,726"
PR,Iguatu,2.156,"0,666"
PR,Imbaú,15.068,"0,758"
PR,Imbituva,30.849,"0,703"
PR,Inácio Martins,9.555,"0,622"
PR,Inajá,2.481,"0,66"
PR,Indianópolis,4.544,"0,6"
PR,Ipiranga,14.317,"0,705"
PR,Iporã,16.102,"0,724"
PR,Iracema do Oeste,2.328,"0,652"
PR,Irati,61.004,"0,706"
PR,Iretama,10.832,"0,707"
PR,Itaguajé,4.530,"0,726"
PR,Itaipulândia,12.116,"0,665"
PR,Itambaracá,5.819,"0,707"
PR,Itambé,6.228,"0,738"
PR,Itapejara d'Oeste,12.869,"0,694"
PR,Itaperuçu,33.310,"0,746"
PR,Itaúna do Sul,3.607,"0,731"
PR,Ivaí,13.476,"0,637"
PR,Ivaiporã,33.566,"0,656"
PR,Ivaté,6.788,"0,73"
PR,Ivatuba,2.685,"0,651"
PR,Jaboti,5.655,"0,706"
PR,Jacarezinho,41.493,"0,766"
PR,Jaguapitã,15.908,"0,718"
PR,Jaguariaíva,36.384,"0,743"
PR,Jandaia do Sul,21.930,"0,715"
PR,Janiópolis,5.807,"0,743"
PR,Japira,5.054,"0,747"
PR,Japurá,9.393,"0,696"
PR,Jardim Alegre,12.138,"0,696"
PR,Jardim Olinda,1.349,"0,712"
PR,Jataizinho,11.996,"0,689"
PR,Jesuítas,10.954,"0,682"
PR,Joaquim Távora,12.341,"0,687"
PR,Jundiaí do Sul,3.372,"0,705"
PR,Juranda,7.899,"0,7"
PR,Jussara,6.786,"0,688"
PR,Kaloré,4.666,"0,708"
PR,Lapa,45.878,"0,718"
PR,Laranjal,5.525,"0,721"
PR,Laranjeiras do Sul,33.179,"0,706"
PR,Leópolis,3.725,"0,585"
PR,Lidianópolis,3.987,"0,706"
PR,Lindoeste,5.217,"0,707"
PR,Loanda,23.966,"0,68"
PR,Lobato,4.707,"0,666"
PR,Londrina,581.382,"0,725"
PR,Luiziana,6.659,"0,744"
PR,Lunardelli,4.864,"0,778"
PR,Lupionópolis,4.929,"0,668"
PR,Mallet,13.681,"0,69"
PR,Mamborê,13.551,"0,71"
PR,Mandaguaçu,34.521,"0,708"
PR,Mandaguari,38.313,"0,719"
PR,Mandirituba,29.104,"0,718"
PR,Manfrinópolis,2.790,"0,751"
PR,Mangueirinha,16.737,"0,655"
PR,Manoel Ribas,14.675,"0,645"
PR,Marechal Cândido Rondon,58.734,"0,688"
PR,Maria Helena,5.926,"0,716"
PR,Marialva,44.749,"0,774"
PR,Marilândia do Sul,8.761,"0,703"
PR,Marilena,7.450,"0,735"
PR,Mariluz,9.910,"0,691"
PR,Maringá,429.660,"0,681"
PR,Mariópolis,6.506,"0,639"
PR,Maripá,6.824,"0,808"
PR,Marmeleiro,16.605,"0,698"
PR,Marquinho,4.491,"0,758"
PR,Marumbi,4.780,"0,722"
PR,Matelândia,19.223,"0,614"
PR,Matinhos,42.063,"0,721"
PR,Mato Rico,3.249,"0,725"
PR,Mauá da Serra,9.689,"0,743"
PR,Medianeira,57.910,"0,632"
PR,Mercedes,6.194,"0,652"
PR,Mirador,2.248,"0,763"
PR,Miraselva,2.017,"0,74"
PR,Missal,11.423,"0,68"
PR,Moreira Sales,9.949,"0,748"
PR,Morretes,19.089,"0,711"
PR,Munhoz de Melo,4.057,"0,675"
PR,Nossa Senhora das Graças,3.669,"0,686"
PR,Nova Aliança do Ivaí,1.322,"0,726"
PR,Nova América da Colina,3.286,"0,709"
PR,Nova Aurora,14.331,"0,717"
PR,Nova Cantu,6.739,"0,698"
PR,Nova Esperança,27.142,"0,733"
PR,Nova Esperança do Sudoeste,5.783,"0,658"
PR,Nova Fátima,7.140,"0,714"
PR,Nova Laranjeiras,12.298,"0,722"
PR,Nova Londrina,13.074,"0,688"
PR,Nova Olímpia,5.982,"0,642"
PR,Nova Santa Bárbara,4.308,"0,758"
PR,Nova Santa Rosa,8.581,"0,71"
PR,Nova Prata do Iguaçu,13.340,"0,716"
PR,Nova Tebas,6.852,"0,68"
PR,Novo Itacolomi,3.227,"0,731"
PR,Ortigueira,24.706,"0,651"
PR,Ourizona,3.193,"0,71"
PR,Ouro Verde do Oeste,7.102,"0,609"
PR,Paiçandu,48.695,"0,72"
PR,Palmas,50.238,"0,709"
PR,Palmeira,34.948,"0,716"
PR,Palmital,12.879,"0,66"
PR,Palotina,37.039,"0,718"
PR,Paraíso do Norte,13.728,"0,639"
PR,Paranacity,9.549,"0,768"
PR,Paranaguá,150.104,"0,746"
PR,Paranapoema,2.352,"0,717"
PR,Paranavaí,96.209,"0,75"
PR,Pato Bragado,6.004,"0,709"
PR,Pato Branco,97.821,"0,763"
PR,Paula Freitas,5.706,"0,747"
PR,Paulo Frontin,6.414,"0,782"
PR,Peabiru,13.494,"0,717"
PR,Perobal,7.599,"0,708"
PR,Pérola,12.389,"0,723"
PR,Pérola d'Oeste,6.218,"0,713"
PR,Piên,14.409,"0,726"
PR,Pinhais,131.255,"0,7"
PR,Pinhalão,6.676,"0,694"
PR,Pinhal de São Bento,2.805,"0,751"
PR,Pinhão,30.451,"0,697"
PR,Piraí do Sul,23.977,"0,695"
PR,Piraquara,127.433,"0,654"
PR,Pitanga,34.527,"0,708"
PR,Pitangueiras,3.141,"0,7"
PR,Planaltina do Paraná,4.125,"0,702"
PR,Planalto,14.722,"0,71"
PR,Ponta Grossa,375.632,"0,705"
PR,Pontal do Paraná,33.131,"0,706"
PR,Porecatu,11.271,"0,763"
PR,Porto Amazonas,4.072,"0,738"
PR,Porto Barreiro,3.057,"0,738"
PR,Porto Rico,3.370,"0,7"
PR,Porto Vitória,3.515,"0,688"
PR,Prado Ferreira,3.816,"0,735"
PR,Pranchita,5.831,"0,685"
PR,Presidente Castelo Branco,4.304,"0,71"
PR,Primeiro de Maio,10.064,"0,752"
PR,Prudentópolis,50.946,"0,713"
PR,Quarto Centenário,4.127,"0,701"
PR,Quatiguá,8.426,"0,676"
PR,Quatro Barras,25.397,"0,71"
PR,Quatro Pontes,4.672,"0,714"
PR,Quedas do Iguaçu,31.423,"0,742"
PR,Querência do Norte,10.625,"0,791"
PR,Quinta do Sol,5.052,"0,681"
PR,Quitandinha,18.882,"0,688"
PR,Ramilândia,4.279,"0,715"
PR,Rancho Alegre,3.472,"0,68"
PR,Rancho Alegre D'Oeste,2.623,"0,63"
PR,Realeza,20.097,"0,704"
PR,Rebouças,14.825,"0,707"
PR,Renascença,6.945,"0,722"
PR,Reserva,24.878,"0,672"
PR,Reserva do Iguaçu,6.493,"0,733"
PR,Ribeirão Claro,12.856,"0,648"
PR,Ribeirão do Pinhal,13.158,"0,618"
PR,Rio Azul,14.174,"0,716"
PR,Rio Bom,3.214,"0,701"
PR,Rio Bonito do Iguaçu,14.297,"0,687"
PR,Rio Branco do Ivaí,3.841,"0,729"
PR,Rio Branco do Sul,40.308,"0,629"
PR,Rio Negro,31.951,"0,64"
PR,Rolândia,75.818,"0,679"
PR,Roncador,11.339,"0,76"
PR,Rondon,9.255,"0,739"
PR,Rosário do Ivaí,5.484,"0,681"
PR,Sabáudia,9.511,"0,713"
PR,Salgado Filho,4.090,"0,662"
PR,Salto do Itararé,5.214,"0,74"
PR,Salto do Lontra,15.706,"0,7"
PR,Santa Amélia,3.358,"0,704"
PR,Santa Cecília do Pavão,3.357,"0,718"
PR,Santa Cruz de Monte Castelo,8.840,"0,653"
PR,Santa Fé,11.730,"0,723"
PR,Santa Helena,26.461,"0,71"
PR,Santa Inês,1.745,"0,705"
PR,Santa Isabel do Ivaí,9.043,"0,744"
PR,Santa Izabel do Oeste,14.462,"0,717"
PR,Santa Lúcia,3.638,"0,72"
PR,Santa Maria do Oeste,9.869,"0,696"
PR,Santa Mariana,10.941,"0,687"
PR,Santa Mônica,3.361,"0,609"
PR,Santana do Itararé,5.646,"0,7"
PR,Santa Tereza do Oeste,13.938,"0,704"
PR,Santa Terezinha de Itaipu,25.300,"0,687"
PR,Santo Antônio da Platina,45.628,"0,705"
PR,Santo Antônio do Caiuá,2.474,"0,738"
PR,Santo Antônio do Paraíso,2.088,"0,718"
PR,Santo Antônio do Sudoeste,24.980,"0,696"
PR,Santo Inácio,6.463,"0,716"
PR,São Carlos do Ivaí,6.727,"0,671"
PR,São Jerônimo da Serra,10.884,"0,739"
PR,São João,12.297,"0,682"
PR,São João do Caiuá,5.607,"0,637"
PR,São João do Ivaí,10.639,"0,664"
PR,São João do Triunfo,13.899,"0,693"
PR,São Jorge d'Oeste,9.587,"0,629"
PR,São Jorge do Ivaí,5.170,"0,727"
PR,São Jorge do Patrocínio,6.690,"0,722"
PR,São José da Boa Vista,6.023,"0,743"
PR,São José das Palmeiras,4.031,"0,676"
PR,São José dos Pinhais,349.880,"0,671"
PR,São Manoel do Paraná,2.176,"0,713"
PR,São Mateus do Sul,43.490,"0,758"
PR,São Miguel do Iguaçu,30.416,"0,725"
PR,São Pedro do Iguaçu,5.730,"0,719"
PR,São Pedro do Ivaí,8.514,"0,704"
PR,São Pedro do Paraná,2.726,"0,683"
PR,São Sebastião da Amoreira,8.063,"0,717"
PR,São Tomé,5.282,"0,704"
PR,Sapopema,6.778,"0,715"
PR,Sarandi,128.106,"0,725"
PR,Saudade do Iguaçu,6.413,"0,655"
PR,Sengés,17.256,"0,695"
PR,Serranópolis do Iguaçu,5.161,"0,699"
PR,Sertaneja,5.654,"0,663"
PR,Sertanópolis,16.210,"0,762"
PR,Siqueira Campos,24.031,"0,725"
PR,Sulina,3.498,"0,723"
PR,Tamarana,10.540,"0,704"
PR,Tamboara,4.986,"0,693"
PR,Tapejara,16.326,"0,621"
PR,Tapira,5.807,"0,731"
