numprocesso;ano;modalidade;lote;classeitem;numeroitem;item;num_protocolo_aax;data;valor;cpf_cnpj;nome_razaosocial
281;2024;Pregão Eletrônico (Lei Federal 14.133/2021);19;6501;916;Oxacilina Sódica, 500 mg, Pó para solução injetável, Frasco-ampola, VIA DE ADMINISTRAÇÃO: Intramuscular/Intravenosa, UNID. DE MEDIDA: Unitário;216419480;2024-07-10;2.8700;02816696000154;PONTAMED FARMACEUTICA LTDA
106;2024;Pregão Eletrônico (Lei Federal 14.133/2021);21;6501;2946;Tamoxifeno, citrato, 20 mg, Comprimido revestido, Blister, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;226156917;2024-09-25;0.5600;81706251000198;PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3;8905;22735;Batata inglesa, TIPO: Ágata, ASPECTO: In natura, fresco, CLASSIFICAÇÃO: Extra, APRESENTAÇÃO: Nova, lavada, firme, pele lisa e coloração amarelo claro, sem manchas escuras ou esverdeadas, sem brotos, polpa clara, tamanho médio e formato ovalada, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades, enfermidades, umidade externa anormal, lesões de origens físicas ou mecânicas (rachaduras ou cortes) e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-29;6.9270;34365540000190;HORT FOODS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3;8905;2195;Melão, TIPO: Amarelo Comum, ASPECTO: In natura, fresco, APRESENTAÇÃO: Inteiro, com casca firme, coloração forte, perfume agradável e sementes soltas, sem rachaduras e perfurações, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-29;4.1002;34365540000190;HORT FOODS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3;8905;10652;Pera, TIPO: Williams, ASPECTO: In natura, fresca, APRESENTAÇÃO: Com casca firme (sem ser dura), sem cortes, machucados, manchas e picadas de insetos, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-29;9.3379;34365540000190;HORT FOODS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;8905;2140;Maçã, TIPO: Fuji, ASPECTO: In natura, fresca, APRESENTAÇÃO: Inteira, firme, com casca lisa, sem machucados, partes batidas e pintas pretas, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-30;9.1500;07383499000102;B.M.A DE LARA COMERCIO E SERVICOS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;8905;2195;Melão, TIPO: Amarelo Comum, ASPECTO: In natura, fresco, APRESENTAÇÃO: Inteiro, com casca firme, coloração forte, perfume agradável e sementes soltas, sem rachaduras e perfurações, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-30;4.4800;07383499000102;B.M.A DE LARA COMERCIO E SERVICOS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5;8905;10652;Pera, TIPO: Williams, ASPECTO: In natura, fresca, APRESENTAÇÃO: Com casca firme (sem ser dura), sem cortes, machucados, manchas e picadas de insetos, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-30;7.4400;29424367000114;N. R. ALIMENTOS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1;8905;10652;Pera, TIPO: Williams, ASPECTO: In natura, fresca, APRESENTAÇÃO: Com casca firme (sem ser dura), sem cortes, machucados, manchas e picadas de insetos, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-30;8.7000;07383499000102;B.M.A DE LARA COMERCIO E SERVICOS LTDA 
478;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;8905;10652;Pera, TIPO: Williams, ASPECTO: In natura, fresca, APRESENTAÇÃO: Com casca firme (sem ser dura), sem cortes, machucados, manchas e picadas de insetos, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades, enfermidades e quaisquer materiais estranhos que possam comprometer a sua qualidade, UNID. DE MEDIDA: Quilograma;218388558;2024-09-30;7.2700;07383499000102;B.M.A DE LARA COMERCIO E SERVICOS LTDA 
