numprocesso;ano;modalidade;numcontrato;anocontrato;orgao
17;2024;Chamamento Público;62;2025;SEED - Secretaria de Estado da Educação
17;2024;Chamamento Público;65;2025;SEED - Secretaria de Estado da Educação
17;2024;Chamamento Público;87;2025;SEED - Secretaria de Estado da Educação
1;2024;Comparação de Preços (Shopping);7478;2024;SEFA - Secretaria de Estado da Fazenda
2;2024;Comparação de Preços (Shopping);7504;2024;SEFA - Secretaria de Estado da Fazenda
1;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2712;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
3;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2979;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
4;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4358;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
6;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3309;2024;UNESPAR - Universidade Estadual do Paraná
8;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2289;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
9;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4073;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
10;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3327;2024;UNESPAR - Universidade Estadual do Paraná
11;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6899;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
12;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4535;2024;UEL - Universidade Estadual de Londrina
15;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3855;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
17;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7467;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
18;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3674;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
19;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6028;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
21;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4909;2025;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5195;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
24;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5825;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
24;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5825;2024;SESP - Secretaria de Estado da Segurança Pública
26;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6089;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
26;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6784;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
27;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6318;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
28;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4368;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
29;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6196;2024;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
30;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4472;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
31;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7606;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
32;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);95;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7157;2024;PGE - Procuradoria Geral do Estado
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7157;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
34;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5538;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
37;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5209;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
38;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4552;2024;UENP - Universidade Estadual do Norte do Paraná
39;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);897;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
40;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);300;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5783;2024;UEPG - Universidade Estadual de Ponta Grossa
43;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);101;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
44;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7400;2024;UEPG - Universidade Estadual de Ponta Grossa
45;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1638;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
46;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4871;2024;UNIOESTE FBELT - Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão
47;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);43;2025;UEM - Universidade Estadual de Maringá
48;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9043;2024;UEM - Universidade Estadual de Maringá
50;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7568;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
50;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7568;2024;SESP - Secretaria de Estado da Segurança Pública
52;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9009;2024;UNESPAR - Universidade Estadual do Paraná
55;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8851;2024;UNESPAR - Universidade Estadual do Paraná
56;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5992;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
57;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5828;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
58;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6062;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
60;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8140;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
61;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3188;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
62;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9017;2024;UNESPAR - Universidade Estadual do Paraná
62;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9110;2024;UNESPAR - Universidade Estadual do Paraná
65;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7900;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
67;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8096;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
68;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7690;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
69;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8155;2024;UNESPAR - Universidade Estadual do Paraná
70;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7693;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
71;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6873;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
72;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7398;2024;UEL - Universidade Estadual de Londrina
73;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7139;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
74;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6542;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
75;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6069;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
76;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6550;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2346;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2350;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2352;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2441;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2498;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2528;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2539;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2556;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2613;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2614;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2649;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2686;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2688;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3052;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3056;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3138;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3260;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3710;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4185;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
79;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7417;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
80;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8014;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
81;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7385;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
82;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3838;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
83;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7660;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
84;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7322;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
85;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7886;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
86;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7406;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
87;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8637;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
88;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7319;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
91;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9246;2024;UNESPAR - Universidade Estadual do Paraná
92;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7140;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
93;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9627;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
94;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6554;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
