numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
1;2024;Audiência Pública;Fase Certame;Padronização de Veículos ECAT visando a adequação das especificações e exigências técnicas dos veículos nos moldes da Nova Lei de Licitações e Contratos Administrativos NLLCA n.º 14.133/2021.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2024-02-02;;;;208890140;1 Parcela(s) - Empreitada/Global
2;2024;Audiência Pública;Fase Certame;Equipamentos de Informática.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;-;0.00;;2024-02-16;;;;216033574;1 Parcela(s) - Empreitada/Global
3;2024;Audiência Pública;Fase Certame;PROCESSO LICITATÓRIO PARA AQUISIÇÃO DE VEÍCULOS BLINDADOS VISANDO ATENDER ÀS UNIDADES PROGRAMÁTICAS DA SESP;SESP-Secretaria de Estado da Segurança Pública;Não;;;Menor Preço;4000.00;;2024-03-20;;;;218108237;
4;2024;Audiência Pública;Publicado;"futura e eventual contratação de serviços continuados de Limpeza e Conservação, Apoio Administrativo e Vigilância visando atender a demanda do Órgãos/Entidades do Estado do Paraná.
";SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2027-03-27;;;;217675430;
5;2024;Audiência Pública;Fase Certame;Audiência Pública para formatação final de objeto técnico para contratação e implementação da Plataforma de Ensino da Escola de Gestão do Paraná;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2024-04-02;;;;217477875;1 Parcela(s) - Empreitada/Global
6;2024;Audiência Pública;Fase Certame;Audiência Pública através de vídeo conferência que visa a contratação de empresa especializada para prestação de serviços continuados, com dedicação exclusiva de mão de obra, de Monitores de Ressocialização Prisional e Encarregados Administrativos com a metodologia de contratação por postos de trabalho, com fornecimento de uniformes e EPIs, para atendimento as unidades prisionais do Departamento de Polícia Penal - DEPPEN.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2024-04-23;;;;219601670;
7;2024;Audiência Pública;Fase Certame;Audiência Pública visando a instrução de processos de licitação para Contratação de empresa especializada para realizar a prestação de serviços continuados de nutrição, cocção e fornecimento de refeições transportadas para atender a demanda das unidades penais.;SESP-Secretaria de Estado da Segurança Pública;Não;;;Menor Preço;0.00;;2024-06-06;;;;221905946;
9;2024;Audiência Pública;Homologado;AUDIÊNCIA PÚBLICA PARA DEFINIÇÃO DE ESPECIFICAÇÕES TÉCNICAS E DIÁLOGO COM O MERCADO PARA FUTURA CONTRATAÇÃO DE FERRAMENTA DE ANÁLISE DE SITES E MONITORAMENTO DE PORTAIS PARA ATENDER ÀS NECESSIDADES DA SECOM.;SECOM-Secretaria de Estado da Comunicação;Não;;;-;0.00;0.00;2024-07-25;2024-08-05;;;223745512;
11;2024;Audiência Pública;Fase Certame;Audiência pública, que visa procedimento de credenciamento de pessoas jurídicas de direito privado especializadas na prestação de serviços de gestão educacional e implementação de ações e estratégias que contribuam para melhorar o processo de ensino e aprendizagem dos alunos das instituições de ensino estaduais.;SEED-Secretaria de Estado da Educação;Não;;;-;0.00;;2024-09-23;;;;226818898;12 Parcela(s) - Empreitada/Global
12;2024;Audiência Pública;Fase Certame;Audiência Pública para Registro de Preços pelo período de um ano prorrogável por igual período desde que comprovada a vantajosidade dos preços para a futura e eventual aquisição de veículos serviços de plotagem e atualização de plotagem conforme especificações técnicas descritas no item 1.2 que poderão ser adquiridos por meio de recursos provenientes de emendas parlamentares e convênios específicos;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2024-10-29;;;;227883359;1 Ano(s)
14;2024;Audiência Pública;Fase Certame;Lanterna Dedicada para uso em Pistola ;SESP-Secretaria de Estado da Segurança Pública;Não;;;Menor Preço;0.00;;2025-01-30;;;;230398453;
16;2024;Audiência Pública;Fase Certame;Audiência Pública que tratará sobre a Licitação para futura contratação integrada de empresa para elaboração dos projetos básicos, executivos de arquitetura e complementares de engenharia, retrofit e a execução das obras de construção do Centro de Tecnologia, Inovação, Lazer e Cultura, Fábrica de Ideias, no município de Curitiba.;SECID-Secretaria de Estado das Cidades (Antigo SEDU);Não;;;Menor Preço;0.00;;2024-12-18;;;;226690581;
17;2024;Audiência Pública;Fase Certame;Audiência Pública  referente ao Programa de Parceria Público-Privada PPP Mais Escolas Paraná;SEED-Secretaria de Estado da Educação;Não;;;-;0.00;;2025-01-14;;;;231544569;
1;2024;Chamamento Público;Fase Certame;"CREDENCIAMENTO PARA PRESTAÇÃO DE SERVIÇO POR PROFISSIONAL TÉCNICO EM ENFERMAGEM
";UEM-Universidade Estadual de Maringá;Não;;;Menor Preço;;;2024-02-06;;;;214533740;
2;2024;Chamamento Público;Fase Certame;CREDENCIAMENTO PARA PRESTAÇÃO DE SERVIÇO POR PROFISSIONAL FONOAUDIÓLOGO;UEM-Universidade Estadual de Maringá;Não;;;Menor Preço;;;2024-03-14;;;;214679868;
3;2024;Chamamento Público;Fase Certame;Chamamento Público para prospecção no mercado de empresas que manifestem interesse em apresentar soluções e propostas de ERP Enterprise Resource Planning, na modalidade SaaS  Software como Serviço, bem como os requisitos mínimos necessários de boas práticas para a implantação, suporte, atualização e manutenção legal e tecnológica evolutiva da solução.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Não;;;-;;;2024-05-09;;;;218077277;
5;2024;Chamamento Público;Fase Certame;O presente Edital de Chamamento Público objetiva realizar o credenciamento de empresas fabricantes ou concessionárias de máquinas, implementos e equipamentos agrícolas interessadas em diretamente comercializar a Agricultores Familiares que se enquadram nas normas do Pronaf e do PTS/PR, colhedoras, pulverizadores e tratores agrícolas que atendam as especificações e os preços máximos estabelecidos mediante Resolução da SEAB.;SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Não;;;Menor Preço;0.00;;2024-04-10;;;;208463551;
6;2024;Chamamento Público;Fase Certame;O presente instrumento tem por objeto a habilitacao da sociedade seguradora para operacionalizar a subvencao economica ao premio do seguro rural nas modalidades agricola, aquicola, pecuaria e florestas plantadas nas condicoes estabelecidas na Lei Estadual n 16.166, de 2009, no Decreto Estadual n 3.375 de 2019 nas Resolucoes da Seab que aprovaram as propostas do Comite Gestor da subvencao economica e no Edital de Chamamento Publico para Selecao e Credenciamento de Companhias Seguradoras n 01/2024.;SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Não;;;Menor Preço;0.00;;2024-04-09;;;;208940872;
7;2024;Chamamento Público;Fase Certame;Ato convocatorio 08-2024 - Contratualização de Serviços Ambulatoriais de média e/ou alta complexidade para realização de exames de Citologia e Histologia.;SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE;Não;;;Menor Preço;1614135.28;;2024-04-02;;;;218898254;30 Dia(s)
8;2024;Chamamento Público;Fase Certame;CREDENCIAMENTO PARA PRESTAÇÃO DE SERVIÇO POR PROFISSIONAL TÉCNICO/TECNÓLOGO EM RADIOLOGIA;UEM-Universidade Estadual de Maringá;Não;;;Menor Preço;;;2024-05-09;;;;217646766;
