numprocesso;ano;modalidade;nrlote;caracteristicas;situacao;valor_estimado;valor_ou_desconto_homologado;cpf_cnpj_vencedor;nome_razaosocial_vencedor
1;2025;Audiência Pública;1;Audiência Publica visa consultar os eventuais interessados no Credenciamento de Entidades Médicas e Psicologicas de Trânsito, denominadas Clínicas de Trânsito, pessoas jurídicas de direito publico e privado que tenham conjugado a prestação de serviços médicos e psicologicos, para a realização dos Exames de Aptidão Física e Mental, de Avaliação Psicologica e de Junta Medica Especial aos candidatos a primeira habilitação, renovação de Carteira Nacional de Habilitação CNH, mudança de categoria, reabilitação de condutores e permissionários, ou Avaliação Psicologica para fins pedagogicos para Diretor Geral e Diretor de Ensino de Centro de Formação de Condutores, examinadores de trânsito, instrutores de trânsito teorico e técnico, registro de estrangeiro e outros motivos que venham a ser exigidos pelo Detran-PR, com fulcro na Lei Federal 14.133-2021, Decreto  10.086-2022 e Resolução 927-2022 CONTRAN. ;Fase Certame;0.00;;;
2;2025;Audiência Pública;1;Conforme Termo de Referência;Adjudicado;0.00;;76416965000121;SECRETARIA DE ESTADO DA EDUCACAO - SEED
3;2025;Audiência Pública;1;Audiência Publica que visa obter contribuiçoes para compor o Estudo Técnico Preliminar e Termo de Referência para posterior Registro de Preços pelo período de 1 ano, prorrogável por igual período, na forma do Art. 84 da Lei Federal nº 14.133/2021, para futura e eventual Contratação do Serviço Contínuo de Gerenciamento da Manutenção Preventiva e Corretiva da Frota de Veículos dos Órgãos e Entidades do Poder Executivo do Estado do Paraná.;Fase Certame;0.00;;;
4;2025;Audiência Pública;1;Audiência Publica que visa subsidiar o processo de Contratação de Empresa Especializada para Prestação de Serviços de Gestão de Margem Consignável e Descontos Facultativos, mediante disponibilização de Sistema Informatizado, integrado ao Sistema de Folha de Pagamento dos servidores publicos estaduais, civis e militares, ativos e inativos e pensionistas de geradores de pensão do Governo do Estado do Paraná.;Fase Certame;0.00;;;
5;2025;Audiência Pública;1;Audiência Publica que visa obter contribuiçoes para compor o Estudo Técnico Preliminar e Termo de Referência para posterior Registro de Preços pelo período de 1 ano, prorrogável por igual período, na forma do Art. 84 da Lei Federal nº 14.133/2021, para futura e eventual Contratação de empresa especializada em prestação de serviços de locação de veículos automotores visando suprir as necessidades dos orgãos e entidades do Poder Executivo do Estado do Paraná.;Fase Certame;0.00;;;
1;2025;Chamamento Público;1;Fornecimento de generos alimenticios in natura minimamente processados ou processados exclusivamente produzidos por agricultores familiares portadores de CAFDAP e sua entrega semanal ou mensal as unidades recebedoras da rede socioassistencial cadastradas na SEAB para os fins do Programa Compra Direta Parana conforme detalhado no Termo de Referencia Sao anexos a este instrumento e vinculam esta contratacao independentemente de transcricao;Suspenso;77000000.00;;;
3;2025;Chamamento Público;1;Ato Convocatorio 09/2025, convocação e possivel contratação de estabelecimentos de saude, para Oferta de Cuidados Integrados OCI.;Fase Certame;962538.90;;;
4;2025;Chamamento Público;1;Formalização de instrumento de prestação de serviço de parcelamento de multas e demais débitos de veículos junto ao DETRAN/PR, não oneroso, das empresas previamente credenciadas pela SENATRAN. ;Fase Certame;;;;
6;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Francisco Beltrão, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
7;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Industrial de Guarapuava, mediante formalização de Termo de Cooperaçao e Permissao de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
