numprocesso;ano;modalidade;numcontrato;anocontrato;orgao
3;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6031;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
7;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7658;2023;UNESPAR - Universidade Estadual do Paraná
11;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);116;2024;UEL - Universidade Estadual de Londrina
12;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6081;2023;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
15;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7610;2023;UNICENTRO - Universidade Estadual do Centro-Oeste
16;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);5974;2024;UEL - Universidade Estadual de Londrina
19;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);199;2024;UNESPAR - Universidade Estadual do Paraná
20;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1487;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
21;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6668;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
24;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);5713;2024;UEL - Universidade Estadual de Londrina
26;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);3206;2024;UEL - Universidade Estadual de Londrina
29;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6813;2023;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
29;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);448;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
30;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6505;2024;UEL - Universidade Estadual de Londrina
37;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6955;2023;UNICENTRO - Universidade Estadual do Centro-Oeste
38;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7323;2023;UNICENTRO - Universidade Estadual do Centro-Oeste
39;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7149;2023;UNESPAR - Universidade Estadual do Paraná
40;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7595;2023;UNESPAR - Universidade Estadual do Paraná
43;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7642;2023;UNICENTRO - Universidade Estadual do Centro-Oeste
44;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7637;2023;UENP - Universidade Estadual do Norte do Paraná
45;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7308;2024;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
46;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6683;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
47;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);111;2024;UEM - Universidade Estadual de Maringá
48;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);876;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
49;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);554;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
51;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6725;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
53;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);547;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
54;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6274;2023;UNIOESTE FOZ - Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu
55;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);426;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
58;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);474;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
59;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);3450;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
60;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6222;2023;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
61;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7584;2023;SEIL - Secretaria de Estado da Infraestrutura e Logística
63;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);318;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
65;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6727;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
68;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);2474;2024;UEM - Universidade Estadual de Maringá
73;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);3961;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
74;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);9;2024;UNIOESTE FOZ - Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu
74;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);34;2024;UNIOESTE FOZ - Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu
75;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);4237;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
76;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6594;2023;UNIOESTE TOLEDO - Universidade Estadual do Oeste do Paraná - Campus Toledo
77;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);954;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
78;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);2287;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
79;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1070;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
80;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);224;2024;UENP - Universidade Estadual do Norte do Paraná
81;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6790;2023;UNIOESTE TOLEDO - Universidade Estadual do Oeste do Paraná - Campus Toledo
82;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);648;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
83;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);4599;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
85;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);761;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
86;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1161;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
86;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6661;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
87;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);117;2024;UEPG - Universidade Estadual de Ponta Grossa
88;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6740;2023;UNIOESTE TOLEDO - Universidade Estadual do Oeste do Paraná - Campus Toledo
89;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6782;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
90;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1805;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
93;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7501;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
95;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6817;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
96;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7468;2023;UNIOESTE FOZ - Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu
97;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7478;2023;UNIOESTE FOZ - Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu
98;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);5284;2024;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
99;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);5994;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
100;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7530;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
101;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6773;2023;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
102;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7521;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
104;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1619;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
105;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);9498;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
106;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6783;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
108;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1206;2024;UEM - Universidade Estadual de Maringá
109;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);900;2024;UEM - Universidade Estadual de Maringá
110;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);227;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);191;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);293;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);334;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);335;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);336;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);339;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);341;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);342;2024;UENP - Universidade Estadual do Norte do Paraná
111;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);343;2024;UENP - Universidade Estadual do Norte do Paraná
112;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);221;2024;UENP - Universidade Estadual do Norte do Paraná
113;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1383;2024;UEM - Universidade Estadual de Maringá
114;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);325;2024;UENP - Universidade Estadual do Norte do Paraná
116;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6781;2023;UNIOESTE FBELT - Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão
116;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);3181;2024;UNIOESTE FBELT - Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão
120;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);7097;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
121;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6613;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
122;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6546;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
126;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);1763;2024;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
127;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6305;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
127;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);6305;2024;SESP - Secretaria de Estado da Segurança Pública
129;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);3182;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
130;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);2445;2024;UEL - Universidade Estadual de Londrina
131;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);4494;2024;UEL - Universidade Estadual de Londrina
2;2023;Concorrência Presencial (Lei Federal 14.133/2021);4034;2024;SETU - Secretaria de Estado do Turismo
2;2023;Concorrência Presencial (Lei Federal 14.133/2021);4036;2024;SECOM - Secretaria de Estado da Comunicação
2;2023;Concorrência Presencial (Lei Federal 14.133/2021);4036;2024;SETU - Secretaria de Estado do Turismo
3;2023;Concorrência Presencial (Lei Federal 14.133/2021);4118;2025;SGSD - Superintendência Geral de Governança de Serviços e Dados
1;2023;Concorrência Pública;1220;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
2;2023;Concorrência Pública;1223;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
5;2023;Concorrência Pública;2902;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
6;2023;Concorrência Pública;2881;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
7;2023;Concorrência Pública;2601;2023;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
8;2023;Concorrência Pública;3876;2023;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
10;2023;Concorrência Pública;7158;2024;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
12;2023;Concorrência Pública;5277;2024;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
14;2023;Concorrência Pública;5433;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
15;2023;Concorrência Pública;2705;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
16;2023;Concorrência Pública;2700;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
17;2023;Concorrência Pública;1027;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
17;2023;Concorrência Pública;2058;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
18;2023;Concorrência Pública;2883;2023;UEPG - Universidade Estadual de Ponta Grossa
20;2023;Concorrência Pública;4523;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
21;2023;Concorrência Pública;4645;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
22;2023;Concorrência Pública;3056;2023;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
23;2023;Concorrência Pública;2882;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
24;2023;Concorrência Pública;4044;2023;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
27;2023;Concorrência Pública;3655;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
30;2023;Concorrência Pública;2363;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
30;2023;Concorrência Pública;2369;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
32;2023;Concorrência Pública;6104;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
34;2023;Concorrência Pública;7212;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2023;Concorrência Pública;4230;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
36;2023;Concorrência Pública;4366;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
37;2023;Concorrência Pública;4707;2023;UNIOESTE FBELT - Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão
38;2023;Concorrência Pública;4659;2023;UNIOESTE FBELT - Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão
39;2023;Concorrência Pública;6669;2023;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
41;2023;Concorrência Pública;6849;2023;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
42;2023;Concorrência Pública;7573;2023;DER - Departamento de Estradas de Rodagem do Estado do Paraná
44;2023;Concorrência Pública;631;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
44;2023;Concorrência Pública;631;2024;SEDEF - Secretaria de Estado do Desenvolvimento Social e Família
46;2023;Concorrência Pública;1428;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
46;2023;Concorrência Pública;1428;2024;SESP - Secretaria de Estado da Segurança Pública
48;2023;Concorrência Pública;3438;2024;ADAPAR - Agência de Defesa Agropecuária do Paraná
48;2023;Concorrência Pública;3438;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
50;2023;Concorrência Pública;837;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
50;2023;Concorrência Pública;837;2024;SESP - Secretaria de Estado da Segurança Pública
51;2023;Concorrência Pública;604;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
51;2023;Concorrência Pública;604;2024;SESP - Secretaria de Estado da Segurança Pública
52;2023;Concorrência Pública;1284;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
52;2023;Concorrência Pública;1284;2024;SESP - Secretaria de Estado da Segurança Pública
53;2023;Concorrência Pública;603;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
