numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
1;2025;Audiência Pública;Fase Certame;Audiência Pública visa consultar os eventuais interessados no Credenciamento de Entidades Médicas e Psicológicas de Trânsito, denominadas Clínicas de Trânsito, pessoas jurídicas de direito público e privado que tenham conjugado a prestação de serviços médicos e psicológicos, para a realização dos Exames de Aptidão Física e Mental, de Avaliação Psicológica e de Junta Medica Especial aos candidatos à primeira habilitação, renovação de Carteira Nacional de Habilitação CNH, mudança de categoria, reabilitação de condutores e permissionários, ou Avaliação Psicológica para fins pedagógicos para Diretor Geral e Diretor de Ensino de Centro de Formação de Condutores, examinadores de trânsito, instrutores de trânsito teórico e técnico, registro de estrangeiro e outros motivos que venham a ser exigidos pelo Detran-PR, com fulcro na Lei Federal n.º 14.133-2021, Decreto n.º 10.086-2022 e Resolução n.º 927-2022 CONTRAN.;DETRAN-Departamento de Trânsito do Estado do Paraná;Não;;;-;0.00;;2025-02-19;;;;234022687;
2;2025;Audiência Pública;Adjudicado;AUDIÊNCIA PÚBLICA DO PROGRAMA GANHANDO O MUNDO.;SEED-Secretaria de Estado da Educação;Não;;;Menor Preço;0.00;;2025-05-22;;;;239262546;1 Parcela(s) - Empreitada/Global
3;2025;Audiência Pública;Fase Certame;Audiência Pública que visa obter contribuições para compor o Estudo Técnico Preliminar e Termo de Referência para posterior Registro de Preços pelo período de 1 ano, prorrogável por igual período, na forma do Art. 84 da Lei Federal nº 14.133/2021, para futura e eventual Contratação do Serviço Contínuo de Gerenciamento da Manutenção Preventiva e Corretiva da Frota de Veículos dos Órgãos e Entidades do Poder Executivo do Estado do Paraná.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2025-06-04;;;;239013830;
4;2025;Audiência Pública;Fase Certame;Audiência Pública que visa subsidiar o processo de Contratação de Empresa Especializada para Prestação de Serviços de Gestão de Margem Consignável e Descontos Facultativos, mediante disponibilização de Sistema Informatizado, integrado ao Sistema de Folha de Pagamento dos servidores públicos estaduais, civis e militares, ativos e inativos e pensionistas de geradores de pensão do Governo do Estado do Paraná.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2025-07-08;;;;241710122;
5;2025;Audiência Pública;Fase Certame;Audiência Pública que visa obter contribuições para compor o Estudo Técnico Preliminar e Termo de Referência para posterior Registro de Preços pelo período de 1 ano, prorrogável por igual período, na forma do Art. 84 da Lei Federal nº 14.133/2021, para futura e eventual Contratação de empresa especializada em prestação de serviços de locação de veículos automotores visando suprir as necessidades dos órgãos e entidades do Poder Executivo do Estado do Paraná.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2025-07-10;;;;241858502;
1;2025;Chamamento Público;Suspenso;Selecao de associacoes e cooperativas da agricultura familiar sediadas no Estado do Parana  para o fornecimento de alimentos em atendimento ao Programa Compra Direta Parana, conforme Decreto Estadual n 7306;SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Não;;;Valor Mínimo;77000000.00;;2025-02-11;;;;231953558;
3;2025;Chamamento Público;Fase Certame;Ato Convocatório 09/2025, convocação e possível contratação de estabelecimentos de saúde, para Oferta de Cuidados Integrados OCI.;SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE;Não;;;Menor Preço;962538.90;;2025-03-18;;;;233330566;30 Dia(s)
4;2025;Chamamento Público;Fase Certame;Formalização de instrumento de prestação de serviço de parcelamento de multas e demais débitos de veículos junto ao DETRAN/PR, não oneroso, das empresas previamente credenciadas pela SENATRAN.;DETRAN-Departamento de Trânsito do Estado do Paraná;Não;;;-;;;2025-04-03;;;;222841348;
6;2025;Chamamento Público;Fase Certame;"Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Francisco Beltrão, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.
";SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-04-14;;;;233401390;60 Mês(es)
7;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Industrial de Guarapuava, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-05-26;;;;233683973;60 Mês(es)
8;2025;Chamamento Público;Deserto;Chamamento Público para doação de 746 bens móveis - diversos - desnecessários, em LOTE ÚNICO, da cidade de Londrina.;IDR-Instituto de Desenvolvimento Rural do Paraná - IAPAR-EMATER;Não;;;-;247810.27;;2025-06-30;;;;237698541;
10;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Central do Estado - Unidade de Progressão - PCE-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-05-26;;;;233680443;60 Mês(es)
11;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Ponta Grossa - Unidade de Segurança II - PEPG - US II, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-05-26;;;;234518119;60 Mês(es)
12;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Feminina de Piraquara II - Centro de Integração Social, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-05-30;;;;233685151;60 Mês(es)
13;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária de Integração Social de Piraquara - PISP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-05-30;;;;233576654;60 Mês(es)
14;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Cadeia Pública de Loanda, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-02;;;;236459519;60 Mês(es)
15;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Feminina do Paraná - PFP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-02;;;;236357180;60 Mês(es)
16;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a uso de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Francisco Beltrão - PEFB, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-13;;;;233677485;60 Mês(es)
17;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Ponta Grossa - Unidade de Progressão - PEPG-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-13;;;;237804627;60 Mês(es)
18;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Foz do Iguaçu III - Unidade de Progressão - PEF III-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-13;;;;237775120;60 Mês(es)
19;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Campo Mourão, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-17;;;;237763238;60 Mês(es)
20;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Cadeia Pública de Toledo, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-17;;;;237803469;60 Mês(es)
21;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Casa de Custódia de Piraquara - CCP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-17;;;;237769619;60 Mês(es)
22;2025;Chamamento Público;Fase Certame;Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual Thiago Borges de Carvalho - PETBC, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;SESP-Secretaria de Estado da Segurança Pública;Não;;;-;1518.00;;2025-06-25;;;;233576050;60 Mês(es)
23;2025;Chamamento Público;Publicado;"Credenciamento de Permissionários para exercer a permissão administrativa de uso do espaço público, a título gratuito, de área física do Edifício Oswaldo Pacheco de Lacerda, sede do Departamento de Estradas de Rodagem do Paraná - antigo mini auditório, para a instalação, operação e exploração comercial de alimentos e bebidas por meio de Máquinas Automáticas de Conveniência e Alimentação, a fim de oferecer produtos como conveniências, petiscos, lanches, bebidas e outros alimentos de fácil consumo, na modalidade venda direta ao consumidor, com tecnologia de autoatendimento, para atendimento dos servidores, funcionários, estagiários, terceirizados e visitantes do DER/PR.
";DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;-;0.00;;2025-09-17;;;;237214684;
