numprocesso;ano;modalidade;tipoveiculopublicacao;descricao;nredicao;datapublicacao
1;2025;Audiência Pública;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11829;2025-02-06
2;2025;Audiência Pública;Diário Oficial do Estado;https://youtube.com/live/AqiDIkPIi_Y?feature=share;11888;2025-05-12
3;2025;Audiência Pública;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11896;2025-05-22
3;2025;Audiência Pública;Outros Veículos de Publicação;www.maringamais.com.br;10196;2025-05-22
4;2025;Audiência Pública;Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br/;11918;2025-06-25
4;2025;Audiência Pública;Outros Veículos de Publicação;https://www.bemparana.com.br/publicidade-legal/;12676;2025-06-25
5;2025;Audiência Pública;Outros Veículos de Publicação;;;2025-06-27
5;2025;Audiência Pública;Diário Oficial do Estado;;11920;2025-06-27
1;2025;Chamamento Público;Outros Veículos de Publicação;Jornal de Circulação Estadual - Folha de Londrina;0;2025-01-24
1;2025;Chamamento Público;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11830;2025-01-24
3;2025;Chamamento Público;Diário Oficial do Estado;HTTP://WWW.IMPRENSAOFICIAL.PR.GOV.BR/;11838;2025-01-19
4;2025;Chamamento Público;Endereço Eletrônico;www.detran.pr.gov.br;;2025-03-12
4;2025;Chamamento Público;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11850;2025-03-12
4;2025;Chamamento Público;Outros Veículos de Publicação;jornaldoonibusdecuritiba.com.br/;;2025-03-12
8;2025;Chamamento Público;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11900;2025-05-28
23;2025;Chamamento Público;Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2025-07-17
23;2025;Chamamento Público;Diário Oficial do Estado;www.dioe.pr.gov.br;11944;2025-07-17
34;2025;Chamamento Público;Diário Oficial do Estado;;;2025-06-30
35;2025;Chamamento Público;Diário Oficial do Estado;HTTP://WWW.IMPRENSAOFICIAL.PR.GOV.BR/;11931;2025-07-14
38;2025;Chamamento Público;Endereço Eletrônico;www.detran.pr.gov.br;;2025-07-31
38;2025;Chamamento Público;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11944;2025-07-31
39;2025;Chamamento Público;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11932;2025-07-15
1;2025;Comparação de Preços (Shopping);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br;11906;2025-06-05
1;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11810;2025-01-10
2;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2025-07-02
3;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11920;2025-06-27
3;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2025-06-27
3;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.documentador.pr.gov.br;1;2025-07-07
3;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.gov.com/compras;1;2025-07-07
4;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;4540;2025-01-28
4;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11822;2025-01-28
5;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11823;2025-01-29
5;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;grupora3.com;4541;2025-01-29
6;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11823;2025-01-29
6;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.grupor3a.com;4541;2025-01-29
8;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11829;2025-02-06
10;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11833;2025-02-12
11;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11842;2025-02-25
12;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11878;2025-04-24
12;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11889;2025-05-13
13;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11847;2025-03-07
14;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11847;2025-03-07
15;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11845;2025-02-28
16;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11854;2025-03-18
16;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.bemparana.com.br/publicidadelegal;12610;2025-03-18
17;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11848;2025-03-10
18;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11849;2025-03-11
20;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11899;2025-05-27
20;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11852;2025-03-14
23;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11862;2025-03-28
27;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11881;2025-04-29
27;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www.diarioinduscom.com.br/;12;2025-04-29
28;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2025-04-25
28;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2025-04-25
28;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11879;2025-04-25
28;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2025-04-25
29;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11932;2025-07-15
32;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2025-04-16
33;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11868;2025-04-07
36;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11874;2025-04-15
38;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11874;2025-04-15
39;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11874;2025-04-15
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.bemparana.com.br;12630;2025-04-15
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11874;2025-04-15
41;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11874;2025-04-15
42;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11874;2025-04-15
43;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11874;2025-04-15
46;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11898;2025-05-26
48;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11891;2025-05-15
51;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11903;2025-06-02
51;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2025-06-02
51;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2025-06-02
51;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2025-06-02
53;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2025-06-16
53;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11913;2025-06-16
53;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2025-06-16
53;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2025-06-16
54;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11898;2025-05-26
54;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.diarioinduscom.com.br;;2025-05-26
55;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11913;2025-06-16
55;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2025-06-16
55;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2025-06-16
55;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2025-06-16
56;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11899;2025-05-27
57;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11899;2025-05-27
58;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;1903;2025-06-02
59;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11913;2025-06-16
59;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2025-06-16
59;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2025-06-16
59;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2025-06-16
60;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;;2025-07-02
60;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;;2025-06-05
60;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11906;2025-06-05
60;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11923;2025-07-02
64;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11921;2025-06-11
65;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11936;2025-07-21
66;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11916;2025-06-23
68;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www.folhadelondrina.com.br/;;2025-07-03
68;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11924;2025-07-03
69;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11922;2025-07-01
72;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.pr.gov.br/dioe;11941;2025-07-28
73;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11932;2025-07-15
74;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11930;2025-07-11
80;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11949;2025-08-08
82;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11942;2025-07-29
84;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11952;2025-08-12
84;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.folhadelondrina.com.br/;;2025-08-12
86;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11947;2025-08-05
89;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2025-08-13
90;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11952;2025-08-12
91;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11953;2025-08-13
93;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11954;2025-08-14
1;2025;Contratação Direta - Dispensa (Lei Federal 14.133/2021);Endereço Eletrônico;www.paranaprevidencia.pr.gov.br;1;2025-02-25
1;2025;Convite;Diário Oficial do Estado;;10719;2020-07-06
2;2025;Convite;Diário Oficial do Estado;www.pr.gov.br/dioe;11379;2023-03-28
3;2025;Convite;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11829;2025-02-06
4;2025;Convite;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11856;2025-03-20
5;2025;Convite;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11870;2025-04-09
6;2025;Convite;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11907;2025-06-06
7;2025;Convite;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11942;2025-07-29
8;2025;Convite;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11942;2025-07-29
3;2025;Credenciamento;Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11823;2025-01-29
8;2025;Credenciamento;Diário Oficial do Estado;www.dioe.pr.gov..br;11862;2025-03-28
13;2025;Credenciamento;Diário Oficial do Estado;;;2025-03-18
16;2025;Credenciamento;Diário Oficial do Estado;www.dioe.pr.gov.br;11863;2025-03-31
18;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;104;2025-03-25
19;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;36;2024-10-17
20;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;35;2024-05-29
21;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11871;2025-04-10
24;2025;Credenciamento;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11896;2025-05-22
26;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11862;2025-03-28
27;2025;Credenciamento;Endereço Eletrônico;https://huopforum.unioeste.br/;;2025-05-16
27;2025;Credenciamento;Diário Oficial do Estado;www.dioe.pr.gov..br;11892;2025-05-16
28;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11725;2024-08-30
31;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11897;2025-05-23
32;2025;Credenciamento;Endereço Eletrônico;https://www.lottopar.pr.gov.br/;;2025-05-27
32;2025;Credenciamento;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11899;2025-05-27
33;2025;Credenciamento;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11901;2025-05-29
34;2025;Credenciamento;Diário Oficial do Estado;www.dioe.pr.gov..br;11907;2025-06-06
34;2025;Credenciamento;Endereço Eletrônico;https://huopforum.unioeste.br/;;2025-06-05
36;2025;Credenciamento;Diário Oficial do Estado;www.dioe.pr.gov..br;11912;2025-06-13
37;2025;Credenciamento;Diário Oficial do Estado;www.dioe.pr.gov..br;11930;2025-10-11
1;2025;Leilão;Diário Oficial do Estado;http://www.dioe.pr.gov.br;11820;2025-01-24
2;2025;Leilão;Diário Oficial do Estado;http://www.dioe.pr.gov.br;11834;2025-02-13
3;2025;Leilão;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11829;2025-02-06
4;2025;Leilão;Diário Oficial do Estado;http://www.dioe.pr.gov.br;11910;2025-06-11
5;2025;Leilão;Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11887;2025-05-09
5;2025;Leilão;Outros Veículos de Publicação;https://www3.unicentro.br/dircom/licitacoes/;;2025-05-09
5;2025;Leilão;Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2025-05-09
6;2025;Leilão;Diário Oficial do Estado;http://www.dioe.pr.gov.br;11934;2025-07-17
8;2025;Leilão;Afixação do aviso do convite no mural de recados;;;2025-06-04
8;2025;Leilão;Endereço Eletrônico;www.uepg.br/licitacao;;2025-06-04
8;2025;Leilão;Outros Veículos de Publicação;;;2025-06-04
8;2025;Leilão;Diário Oficial do Estado;;11905;2025-06-04
1;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11816;2025-01-20
2;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11827;2025-02-04
3;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11809;2025-01-09
4;2025;Licitação Eletrônica - Estatal;Outros Veículos de Publicação;www.compras.pr.gov.br;;2025-02-11
4;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.licitacoes-e.com.br;;2025-02-11
4;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11832;2025-02-11
7;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11826;2025-02-03
9;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11843;2025-02-26
10;2025;Licitação Eletrônica - Estatal;Outros Veículos de Publicação;http://www.comprasparana.pr.gov.br;;2025-03-28
10;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11862;2025-03-28
10;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.licitacoes-e.com.br;;2025-03-28
11;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br;11832;2025-02-11
12;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11861;2025-03-27
13;2025;Licitação Eletrônica - Estatal;Endereço Eletrônico;www.transparencia.pr.gov.br/;;2025-03-31
13;2025;Licitação Eletrônica - Estatal;Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11863;2025-03-31
