orgao;numprocesso;ano;modalidade;lote;classeitem;numeroitem;item;quantidade;valorunitario
ADAPAR-Agência de Defesa Agropecuária do Paraná;104;2023;Pregão Eletrônico (Lei Federal 14.133/2021);20;7905;76;Saco plástico de lixo, USO: Coleta seletiva (papel/papelão), COR: Azul, CAPACIDADE: 50 litros (10kg), ESPESSURA MÍNIMA: 0,06mm, MATÉRIA-PRIMA: Confeccionado com resinas termoplásticas, virgens ou recicladas, com o emprego de pigmentos e aditivos compatíveis que não interfiram nas características de resistência e opacidade, com solda contínua, homogênea e uniforme, EMBALAGEM: Pacote com 50 unidades, constando marca, fabricante, quantidade, dimensão, tipo de resíduo, capacidade nominal em litros e kg, PESO MÍNIMO DO PACOTE: 1,400kg, CARACTERÍSTICAS ADICIONAIS: Lote de cor uniforme, UNIDADE DE FORNECIMENTO: Pacote, UNID. DE MEDIDA: Unitário;54.00;13.0000
ADAPAR-Agência de Defesa Agropecuária do Paraná;458;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;136;64074;Prestação de Serviços, Confecção de carimbo  automático (autoentintado), Retangular, MEDIDA: 37 a 39 mm de largura por 13 a 15 mm de altura, UNID. DE MEDIDA: Unitário;200.00;20.6500
ADAPAR-Agência de Defesa Agropecuária do Paraná;458;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;136;64075;Prestação de Serviços, Confecção de carimbo  automático (autoentintado), Retangular, MEDIDA: 46 a 48 mm de largura por 17 a 19 mm de altura, UNID. DE MEDIDA: Unitário;270.00;14.7900
ADAPAR-Agência de Defesa Agropecuária do Paraná;458;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;136;64077;Prestação de Serviços, Confecção de carimbo  automático (autoentintado), Retangular, MEDIDA: 74 a 77 mm de largura por 36 à 39 mm de altura, UNID. DE MEDIDA: Unitário;240.00;32.0800
ADAPAR-Agência de Defesa Agropecuária do Paraná;494;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;102;71196;Serviços de Alimentação, TIPO: Coffee Break, 04 (quatro) tipos de salgados, 03 (três) tipos de doces, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;8535.00;20.0000
ADAPAR-Agência de Defesa Agropecuária do Paraná;644;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;6701;71711;Suporte Pedestal, TIPO: Com Altura Regulável, USO: Para Monitor de Áudio, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;2.00;407.5200
ADAPAR-Agência de Defesa Agropecuária do Paraná;644;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;6701;91698;Tela interativa, TIPO: DLED, 75 Polegadas, RESOLUÇÃO: 3840 x 2160 (4K), ÂNGULO DE VISÃO: 178º (horizontal) / 178º (vertical), TAXA DE ATUALIZAÇÃO: 60Hz, VIDA ÚTIL: 50000 horas, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário, Não há;2.00;10371.2400
Agência de Transportes, Obras e  Infraestrutura - Ageto/TO;1037;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;7002;67830;Software Autodesk Collection Autodesk Architecture, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;50.00;42979.3500
AGÊNCIA PERNAMBUCANA DE ÁGUAS E CLIMA- PE;1037;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;7002;67830;Software Autodesk Collection Autodesk Architecture, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;1.00;42979.3500
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;38;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;7201;193;Pano, TIPO: Copa / cozinha, MATERIAL: 100% algodão, alvejado, com bainha nos quatro lados, sem estampa, DIMENSÃO: 40cm x 70cm (variação +/- 10%), GRAMATURA MÍNIMA: 160g/m², COR: Branco, UNID. DE MEDIDA: Unitário;300.00;2.7400
