numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
1;2023;Audiência Pública;Fase Certame;Audiência Pública visando consultar os interessados em registrar preços para futura e eventual aquisição de gêneros alimentícios diversos, para atendimento ao Programa de Alimentação Escolar, a fim de atender a demanda dos estabelecimentos de ensino da rede pública estadual do Paraná, com fulcro no art. 83, da Lei Estadual nº 15.608/2006.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Não;;;Menor Preço;0.00;;2023-02-17;;;;199151886;
2;2023;Audiência Pública;Fase Certame;Credenciamento de pessoas jurídicas qualificadas, para concessão da exploração da atividade de modalidade lotérica de Apostas Esportivas de Quota-Fixa AEQF, que consiste em sistema de apostas relativas a eventos reais de temática esportiva e cotidiano, em que é definido, no momento de efetivação da aposta, quanto o apostador pode ganhar em caso de acerto do prognóstico escolhido;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-02-14;;;;199470698;
3;2023;Audiência Pública;Fase Certame;Registro de Preços por meio de Pregão Eletrônico pelo período de 12 doze meses para futura e eventual prestação de serviços continuados de nutrição cocção e fornecimento de refeições transportadas para atender a demanda dos Presídios Cadeias Carceragens de Delegacias da Polícia Civil de gestão plena do DEPPEN gestão plena da Polícia Civil e as compartilhadas entre a Polícia Civil e o DEPPEN respeitadas as especificações técnicas quantidades condições de fornecimento e acordo de níveis de serviço previstos neste Termo de Referência;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-02-16;;;;199386115;12 Mês(es)
4;2023;Audiência Pública;Fase Certame;Contratação de serviços de locação de equipamentos multifuncionais monocromáticas e colorida e serviços de cópias de digitalização de softwares que compõe a solução incluindo o fornecimento dos equipamentos novos sem uso e em linha de fabricação bem como a instalação configuração e gestão dos equipamentos e softwares conjuntamente com a manutenção preventiva e corretiva reposição de peças e de todo o material de consumo necessário ao perfeito funcionamento dos equipamentos exceto papel instalação de softwares necessários;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-02-17;;;;199691791;12 Mês(es)
5;2023;Audiência Pública;Fase Certame;Contratação de empresa especializada, através de pregão eletrônico, para prestação de serviço continuado de monitoração e rastreamento eletrônico de pessoas mediante instalação de dispositivo inviolável que possua transmissão de dados, em tempo real, via rede de telefonia celular, posicionamento por satélite e radiofrequência, com fulcro no artigo 83 da Lei Estadual N 15608/2007.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-02-28;;;;199583646;1 Parcela(s) - Empreitada/Global
6;2023;Audiência Pública;Fase Certame;Audiência pública, que antecederá a realização de Registro de Preços, através de Pregão Eletrônico, para possibilitar futura e eventual aquisição de coletes balísticos para uso policial e bombeiro militar com nível de proteção III A painéis balísticos, capa externa, respeitadas as especificações técnicas, quantidades, condições de fornecimento e acordo de níveis de serviço;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-05-04;;;;200648900;1 Parcela(s) - Empreitada/Global
7;2023;Audiência Pública;Fase Certame;Audiência Pública - Armamento tipo Carabina;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-05-09;;;;200646908;1 Parcela(s) - Empreitada/Global
8;2023;Audiência Pública;Fase Certame;A presente Audiência Pública tem como objetivo buscar informações de potenciais interessados para subsidiar futura instauração do processo licitatório destinado à aquisição de armamento de porte para a Casa Militar. A finalidade é obter do mercado contribuições para o aperfeiçoamento das Especificações Técnicas e do Termo de Referência relacionados à aquisição de pistolas compactas e compactas slim, calibre 9x19mm, juntamente com seus acessórios.;CASA MILITAR-Casa Militar do Estado do Paraná;Não;;;Menor Preço;1119543.84;;2023-06-13;;;;205113673;
9;2023;Audiência Pública;Fase Certame;Audiência Pública - Visa contribuições para elaboração dos documentos de Termo de Referência e Edital, tendo como objeto a CONTRATAÇÃO DE EMPRESA, EM REGIME DE EXCLUSIVIDADE, PARA CONCESSÃO DA EXPLORAÇÃO, EM MEIO FÍSICO E VIRTUAL, DO SERVIÇO PÚBLICO DE LOTERIA NO ESTADO DO PARANÁ, NAS MODALIDADES DE JOGOS E APOSTAS PREVISTAS NA LEI FEDERAL Nº 13.756/2018, EXCETO APOSTAS DE QUOTA FIXA, a fim de atender a demanda da Loterias do Estado do Paraná  LOTTOPAR.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-06-30;;;;205861696;1 Parcela(s) - Empreitada/Global
10;2023;Audiência Pública;Fase Certame;Contratacao de empresa especializada em Saude e Seguranca do Trabalho SST bem como empresa especializada para o desenvolvimento de sistemas de informacao em desenvolvimento de software com integracao ao sistema Meta4 de gestao da SEAP;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-08-01;;;;205288678;1 Parcela(s) - Empreitada/Global
11;2023;Audiência Pública;Fase Certame;Audiência Pública - prestação de serviços de consultoria para apoiar tecnicamente a inovação e transformação digital serviços públicos oferecidos pelo Estado, Assessoramento e elaboração das minutas em nível estadual da Política de Governança de Tecnologia de Informação e Comunicação, Estratégia de Transformação Digital, e Plano Diretor de Transformação Digital, realização de diagnóstico, no âmbito da administração pública direta e indireta do Estado Paraná, dos serviços estaduais oferecidos ao cidadão, definindo o seu conceito, identificando os processos digitalizados, em processo de digitalização e que possuem viabilidade se serem digitalizados, Assessoramento da Secretaria de Estado da Inovação, Modernização e Transformação Digital na construção do plano de ação de transformação digital com base em pesquisa e aplicação da melhores práticas, tendências e oportunidades em transformação digital de serviços, incluindo a definição das ;SEIA-Secretaria de Estado da Inovação e Inteligência Artificial (Antigo SEI);Não;;;Menor Preço;0.00;;2023-07-28;;;;207560782;
12;2023;Audiência Pública;Fase Certame;Serviços Ambulatoriais e Hospitalares SUS;SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE;Não;;;Técnica e Preço;286257596.40;;2023-08-07;;;;204986924;
13;2023;Audiência Pública;Fase Certame;Contratação de empresa especializada na prestação de Serviço Telefônico Fixo Comutado STFC por meio de entroncamentos SIP no modelo centralizado destinado ao tráfego de chamadas de entrada e saída nas modalidades Local e Longa Distância Nacional e Internacional bem como a locação de equipamentos de telefonia IP;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-09-12;;;;208545558;
14;2023;Audiência Pública;Fase Certame;"Contratação de empresa especializada nos serviços de implantação, gestão,
operação e manutenção das unidades de atendimento ao cidadão em municípios do Paraná.";SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-10-03;;;;209646196;
15;2023;Audiência Pública;Fase Certame;Contratação de empresas para a prestação de serviços de regularização documental de imóveis integrantes do patrimônio imobiliário estadual, localizados em todo o território do Estado do Paraná, e registrados em Transcrição das Transmissões, preferencialmente para aqueles sem ocupação definida, mediante as aprovações em Prefeituras e Cartórios de Registros de Imóveis paranaense, a fim de abertura de matrículas individualizadas.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2023-11-14;;;;210469710;
3;2023;Chamamento Público;Fase Certame;Contratação de Consultor Individual, com formação técnico profissional especializada, portador do título de Engenheiro Civil, com perfil profissional Sênior, legalmente habilitado para o exercício da função de assessoria técnica com a finalidade de prestar serviços especializados inerentes a sua esfera de atribuiçoes - cf. regulamentadas na Lei n 5194/1966.;SESP-Secretaria de Estado da Segurança Pública;Não;;;Melhor Técnica;204912.00;;2023-05-26;;;;192793416;12 Mês(es)
4;2023;Chamamento Público;Fase Certame;Realização de chamamento público, com fundamento do Programa Leite das Crianças,com vistas ao credenciamento de usinas de beneficiamento de leite para atender à demanda do Programa Leite das Crianças, e das ações previstas n Decreto Estadual nº 4.675/2012, aprovando os termos do ato convocatório, Edital de Chamamento Público n 001/2023.;SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Não;;;Menor Preço;0.00;;2023-06-26;;;;201621453;
6;2023;Chamamento Público;Fase Certame;Constitui objeto deste Chamamento Público a seleção de interessados na apresentação de solução tecnológica e com capacidade logística para participar do período de planejamento e estudos do projeto de monitoramento eletrônico simultâneo do agressor e vítima com medida protetiva de urgência, em desenvolvimento pela Diretoria de Políticas Públicas da SESP, cujo objetivo visa instruir possível processo licitatório de aquisição do serviço no âmbito do Estado do Paraná. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;Melhor Técnica;0.00;;2023-09-11;;;;207519197;
7;2023;Chamamento Público;Fase Certame;"Prestação de serviços de gerenciamento, implementação e administração dos benefícios auxílio-alimentação e auxílio-refeição, para os beneficiários indicados pela Celepar, que possibilite a aquisição de gêneros alimentícios in natura e refeições prontas, através de cartões alimentação e refeição, magnéticos com chip de segurança e/ou eletrônicos, nos termos do edital e seus anexos.
";CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Não;;;Maior Desconto;105675486.82;;2023-09-27;;;;203364300;
8;2023;Chamamento Público;Homologado;Chamamento Público para doação de 859 bens móveis - diversos - desnecessários, em LOTE ÚNICO, da cidade de Londrina;IDR-Instituto de Desenvolvimento Rural do Paraná - IAPAR-EMATER;Não;;;-;27454.58;27454.58;2023-09-14;2023-09-25;;;207055077;
9;2023;Chamamento Público;Fase Certame;Chamamento Publico Resíduos Sólidos Administrativos SEIL/DER/Ferroeste e Unidades Descentralizadas no Estado do Paraná.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;;;2023-09-18;;;;207598836;1 Ano(s)
10;2023;Chamamento Público;Fase Certame;CHAMAMENTO PÚBLICO PARA DOAÇÃO DE BENS MOVEIS - MADEIRA - MATERIAL LENHOSO - DIVIDIDO EM DOIS LOTES, CONFORME EDITAL.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;;;2023-09-25;;;;204982341;
