Exercício: 2025
Escopo: Municípios do Estado - PR
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";64397212,75
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";1882209,03
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";1882209,03
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"02 - Judiciária";"siconfi-cor_TotalDespesas";257566,04
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"02.062 - Defesa do Interesse Público no Processo Judiciário";"siconfi-cor_TotalDespesas";257566,04
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";12039378,6
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";10631350,26
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";1408028,34
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";2501309,83
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"08.241 - Assistência à Pessoa Idosa";"siconfi-cor_TotalDespesas";246074,22
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";1021755,14
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1233480,47
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";15769044,92
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";10240324,96
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";4904059,22
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";624660,74
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"11 - Trabalho";"siconfi-cor_TotalDespesas";65597,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"11.122 - Administração Geral";"siconfi-cor_TotalDespesas";65597,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";13537179,36
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";11424599,55
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";2112579,81
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";1612327,32
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";1612327,32
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";3095393,84
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"15.451 - Infraestrutura Urbana";"siconfi-cor_TotalDespesas";1077272,72
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";2018121,12
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"16 - Habitação";"siconfi-cor_TotalDespesas";348,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"16.482 - Habitação Urbana";"siconfi-cor_TotalDespesas";348,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"17 - Saneamento";"siconfi-cor_TotalDespesas";1855969,13
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"17.511 - Saneamento Básico Rural";"siconfi-cor_TotalDespesas";31100,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"17.512 - Saneamento Básico Urbano";"siconfi-cor_TotalDespesas";1531734,13
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"FU17 - Demais Subfunções";"siconfi-cor_TotalDespesas";293135,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";778957,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";778957,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"20 - Agricultura";"siconfi-cor_TotalDespesas";1710596,2
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"20.605 - Abastecimento";"siconfi-cor_TotalDespesas";1629623,55
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"20.608 - Promoção da Produção Agropecuária";"siconfi-cor_TotalDespesas";80972,65
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"26 - Transporte";"siconfi-cor_TotalDespesas";6176015,68
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"26.782 - Transporte Rodoviário";"siconfi-cor_TotalDespesas";6176015,68
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"27 - Desporto e Lazer";"siconfi-cor_TotalDespesas";1057271,18
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"27.812 - Desporto Comunitário";"siconfi-cor_TotalDespesas";1057271,18
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"28 - Encargos Especiais";"siconfi-cor_TotalDespesas";2058048,46
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"28.843 - Serviço da Dívida Interna";"siconfi-cor_TotalDespesas";380864,05
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"28.846 - Outros Encargos Especiais";"siconfi-cor_TotalDespesas";1086142,87
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Empenhadas";"FU28 - Demais Subfunções";"siconfi-cor_TotalDespesas";591041,54
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";60730519,52
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";1882209,03
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";1882209,03
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"02 - Judiciária";"siconfi-cor_TotalDespesas";257566,04
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"02.062 - Defesa do Interesse Público no Processo Judiciário";"siconfi-cor_TotalDespesas";257566,04
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"04 - Administração";"siconfi-cor_TotalDespesas";11905950,34
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";10501642,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";1404308,34
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";2493602,5
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"08.241 - Assistência à Pessoa Idosa";"siconfi-cor_TotalDespesas";246074,22
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";1021755,14
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1225773,14
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"10 - Saúde";"siconfi-cor_TotalDespesas";15682303,75
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";10153583,79
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";4904059,22
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";624660,74
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"11 - Trabalho";"siconfi-cor_TotalDespesas";65597,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"11.122 - Administração Geral";"siconfi-cor_TotalDespesas";65597,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"12 - Educação";"siconfi-cor_TotalDespesas";12995197,06
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";10882617,25
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";2112579,81
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"13 - Cultura";"siconfi-cor_TotalDespesas";1363915,61
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";1363915,61
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";2670793,31
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"15.451 - Infraestrutura Urbana";"siconfi-cor_TotalDespesas";819181,41
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";1851611,9
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"16 - Habitação";"siconfi-cor_TotalDespesas";348,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"16.482 - Habitação Urbana";"siconfi-cor_TotalDespesas";348,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"17 - Saneamento";"siconfi-cor_TotalDespesas";1843898,32
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"17.511 - Saneamento Básico Rural";"siconfi-cor_TotalDespesas";31100,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"17.512 - Saneamento Básico Urbano";"siconfi-cor_TotalDespesas";1519663,32
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"FU17 - Demais Subfunções";"siconfi-cor_TotalDespesas";293135,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";702431,66
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";702431,66
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"20 - Agricultura";"siconfi-cor_TotalDespesas";1623324,12
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"20.605 - Abastecimento";"siconfi-cor_TotalDespesas";1542351,47
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"20.608 - Promoção da Produção Agropecuária";"siconfi-cor_TotalDespesas";80972,65
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"26 - Transporte";"siconfi-cor_TotalDespesas";4128062,56
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"26.782 - Transporte Rodoviário";"siconfi-cor_TotalDespesas";4128062,56
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"27 - Desporto e Lazer";"siconfi-cor_TotalDespesas";1057271,18
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"27.812 - Desporto Comunitário";"siconfi-cor_TotalDespesas";1057271,18
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"28 - Encargos Especiais";"siconfi-cor_TotalDespesas";2058048,46
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"28.843 - Serviço da Dívida Interna";"siconfi-cor_TotalDespesas";380864,05
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"28.846 - Outros Encargos Especiais";"siconfi-cor_TotalDespesas";1086142,87
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Liquidadas";"FU28 - Demais Subfunções";"siconfi-cor_TotalDespesas";591041,54
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";60297115,25
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"01 - Legislativa";"siconfi-cor_TotalDespesas";1882209,03
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";1882209,03
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"02 - Judiciária";"siconfi-cor_TotalDespesas";257566,04
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"02.062 - Defesa do Interesse Público no Processo Judiciário";"siconfi-cor_TotalDespesas";257566,04
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"04 - Administração";"siconfi-cor_TotalDespesas";11904545,25
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";10500236,91
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";1404308,34
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";2493602,5
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"08.241 - Assistência à Pessoa Idosa";"siconfi-cor_TotalDespesas";246074,22
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";1021755,14
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1225773,14
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"10 - Saúde";"siconfi-cor_TotalDespesas";15682303,75
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";10153583,79
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";4904059,22
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";624660,74
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"11 - Trabalho";"siconfi-cor_TotalDespesas";65597,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"11.122 - Administração Geral";"siconfi-cor_TotalDespesas";65597,58
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"12 - Educação";"siconfi-cor_TotalDespesas";12995197,06
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";10882617,25
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";2112579,81
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"13 - Cultura";"siconfi-cor_TotalDespesas";1351408,69
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";1351408,69
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";2670793,31
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"15.451 - Infraestrutura Urbana";"siconfi-cor_TotalDespesas";819181,41
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";1851611,9
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"16 - Habitação";"siconfi-cor_TotalDespesas";348,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"16.482 - Habitação Urbana";"siconfi-cor_TotalDespesas";348,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"17 - Saneamento";"siconfi-cor_TotalDespesas";1843898,32
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"17.511 - Saneamento Básico Rural";"siconfi-cor_TotalDespesas";31100,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"17.512 - Saneamento Básico Urbano";"siconfi-cor_TotalDespesas";1519663,32
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"FU17 - Demais Subfunções";"siconfi-cor_TotalDespesas";293135,00
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";702431,66
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";702431,66
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"20 - Agricultura";"siconfi-cor_TotalDespesas";1623324,12
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"20.605 - Abastecimento";"siconfi-cor_TotalDespesas";1542351,47
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"20.608 - Promoção da Produção Agropecuária";"siconfi-cor_TotalDespesas";80972,65
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"26 - Transporte";"siconfi-cor_TotalDespesas";3708570,3
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"26.782 - Transporte Rodoviário";"siconfi-cor_TotalDespesas";3708570,3
Prefeitura Municipal de Ouro Verde do Oeste - PR;4117453;PR;6808;"Despesas Pagas";"27 - Desporto e Lazer";"siconfi-cor_TotalDespesas";1057271,18
