numprocesso,ano,orgao,modalidade,valor_total,lsl_cap,razao_vt_lsl,flag_irregular,participantes,vencedores,qtd_itens,excedente
17,2023,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,Credenciamento,17175455784.0,650000.0,26423.77812923077,1,37,99,201.0,17174805784.0
83,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Pública,5294456081.79,650000.0,8145.317048907692,1,7,8,48.0,5293806081.79
58,2025,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),5243511777.55,650000.0,8066.9411962307695,1,8,8,135.0,5242861777.55
260,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),4846037441.54,650000.0,7455.442217753846,1,13,21,70.0,4845387441.54
5,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Presencial (Lei Federal 14.133/2021),1991421099.0,650000.0,3063.7247676923075,1,19,29,105.0,1990771099.0
4,2023,IAT-Instituto Água e Terra (Antigo IAP),Concorrência Pública,1716755126.4,650000.0,2641.161732923077,1,18,37,113.0,1716105126.4
17,2024,SEED-Secretaria de Estado da Educação,Chamamento Público,1044829727.36,650000.0,1607.4303497846154,1,37,99,201.0,1044179727.36
3,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Concorrência Presencial (Lei Federal 14.133/2021),871293969.0,650000.0,1340.45226,1,23,65,103.0,870643969.0
27,2023,UNIOESTE HUOP-Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná,Pregão Presencial,816500000.0,650000.0,1256.1538461538462,1,15,45,56.0,815850000.0
61,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Pública,768317283.41,650000.0,1182.0265898615385,1,11,38,90.0,767667283.41
6,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Pregão Presencial (Lei Federal 14.133/2021),690000000.0,650000.0,1061.5384615384614,1,22,56,146.0,689350000.0
1728,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Pregão Eletrônico (Lei Federal 14.133/2021),663019120.26,650000.0,1020.0294157846154,1,0,0,40.0,662369120.26
1031,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),644313845.22,650000.0,991.2520695692308,1,5,9,32.0,643663845.22
1031,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),644313845.22,650000.0,991.2520695692308,1,5,9,32.0,643663845.22
1031,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),644313845.22,650000.0,991.2520695692308,1,5,9,32.0,643663845.22
85,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Pública,620933165.63,650000.0,955.281793276923,1,18,30,83.0,620283165.63
377,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico,556649006.05,650000.0,856.3830862307692,1,10,17,95.0,555999006.05
719,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),403913649.5,650000.0,621.4056146153846,1,6,9,76.0,403263649.5
261,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),397809413.04,650000.0,612.0144816000001,1,3,3,39.0,397159413.04
12,2023,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,Audiência Pública,286257596.4,650000.0,440.39630215384614,1,64,531,632.0,285607596.4
945,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),274541800.0,650000.0,422.372,1,9,17,15.0,273891800.0
18,2025,UEPG-HURCG-Hospital Universitário Regional dos Campos Gerais,Credenciamento,269893080.0,650000.0,415.2201230769231,1,20,25,64.0,269243080.0
431,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),600000000.0,1500000.0,400.0,1,36,86,98.0,598500000.0
307,2025,IAT-Instituto Água e Terra (Antigo IAP),Pregão Eletrônico (Lei Federal 14.133/2021),222989200.0,650000.0,343.0603076923077,1,3,3,9.0,222339200.0
183,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),514230020.0,1500000.0,342.82001333333335,1,2,2,39.0,512730020.0
37,2023,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,Chamamento Público,219409302.3,650000.0,337.5527727692308,1,22,58,72.0,218759302.3
1107,2025,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),217696500.0,650000.0,334.91769230769233,1,4,13,126.0,217046500.0
478,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),213087200.0,650000.0,327.82646153846156,1,6,7,110.0,212437200.0
1108,2025,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),209163600.0,650000.0,321.7901538461538,1,2,6,13.0,208513600.0
84,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Pública,206458478.6,650000.0,317.6284286153846,1,10,31,82.0,205808478.6
2160,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),197207000.0,650000.0,303.3953846153846,1,3,9,9.0,196557000.0
925,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),191012900.0,650000.0,293.866,1,11,23,42.0,190362900.0
489,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),185186737.68,650000.0,284.9026733538462,1,16,26,187.0,184536737.68
543,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),411936855.48,1500000.0,274.62457032000003,1,8,17,96.0,410436855.48
543,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),411936855.48,1500000.0,274.62457032000003,1,8,17,96.0,410436855.48
543,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),411936855.48,1500000.0,274.62457032000003,1,8,17,96.0,410436855.48
1450,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),155166460.0,650000.0,238.71763076923077,1,2,2,44.0,154516460.0
171,2024,AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC),Concorrência Eletrônica (Lei Federal 14.133/2021),355504517.73,1500000.0,237.00301182,1,11,24,149.0,354004517.73
2041,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),149680000.0,650000.0,230.27692307692308,1,4,6,6.0,149030000.0
369,2024,SEED-Secretaria de Estado da Educação,Pregão Eletrônico (Lei Federal 14.133/2021),149591230.12,650000.0,230.14035403076923,1,4,6,27.0,148941230.12
428,2023,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico,148933000.0,650000.0,229.1276923076923,1,11,20,28.0,148283000.0
3,2025,SECID-Secretaria de Estado das Cidades (Antigo SEDU),Concorrência Eletrônica (Lei Federal 14.133/2021),335264442.04,1500000.0,223.5096280266667,1,23,65,103.0,333764442.04
60,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),328753517.8,1500000.0,219.16901186666666,1,14,19,47.0,327253517.8
1273,2023,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico,137335000.0,650000.0,211.2846153846154,1,9,16,15.0,136685000.0
635,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),130767000.0,650000.0,201.18,1,5,14,14.0,130117000.0
453,2025,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,Pregão Eletrônico (Lei Federal 14.133/2021),123554029.8,650000.0,190.08312276923076,1,8,15,30.0,122904029.8
27,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),274558411.4,1500000.0,183.03894093333332,1,15,45,56.0,273058411.4
127,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),274500000.0,1500000.0,183.0,1,13,20,21.0,273000000.0
116,2025,SECID-Secretaria de Estado das Cidades (Antigo SEDU),Pregão Eletrônico (Lei Federal 14.133/2021),117771914.8,650000.0,181.18756123076923,1,13,18,33.0,117121914.8
116,2025,SECID-Secretaria de Estado das Cidades (Antigo SEDU),Pregão Eletrônico (Lei Federal 14.133/2021),117771914.8,650000.0,181.18756123076923,1,13,18,33.0,117121914.8
116,2025,SECID-Secretaria de Estado das Cidades (Antigo SEDU),Pregão Eletrônico (Lei Federal 14.133/2021),117771914.8,650000.0,181.18756123076923,1,13,18,33.0,117121914.8
263,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),267800000.0,1500000.0,178.53333333333333,1,14,16,17.0,266300000.0
25,2025,UEPG-HURCG-Hospital Universitário Regional dos Campos Gerais,Credenciamento,115547940.0,650000.0,177.76606153846154,1,18,43,151.0,114897940.0
66,2025,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),111806077.56,650000.0,172.0093500923077,1,23,56,263.0,111156077.56
34,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico,111587209.12,650000.0,171.67262941538462,1,6,7,84.0,110937209.12
1077,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),111500000.0,650000.0,171.53846153846155,1,12,18,21.0,110850000.0
1042,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),110948284.8,650000.0,170.6896689230769,1,7,10,32.0,110298284.8
184,2025,IAT-Instituto Água e Terra (Antigo IAP),Pregão Eletrônico (Lei Federal 14.133/2021),109908670.0,650000.0,169.09026153846153,1,7,10,47.0,109258670.0
7,2023,CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,Chamamento Público,105675486.82,650000.0,162.5776720307692,1,26,43,66.0,105025486.82
259,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),102483525.16,650000.0,157.66696178461538,1,20,37,40.0,101833525.16
7,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),100819933.8,650000.0,155.10759046153845,1,26,43,66.0,100169933.8
7,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),100819933.8,650000.0,155.10759046153845,1,26,43,66.0,100169933.8
7,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),100819933.8,650000.0,155.10759046153845,1,26,43,66.0,100169933.8
259,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),98908767.11,650000.0,152.16733401538463,1,20,37,40.0,98258767.11
91,2024,CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,Licitação Eletrônica - Estatal,98729539.97,650000.0,151.89159995384614,1,8,8,42.0,98079539.97
