"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Brasil e Município";"Ano"
"Brasil e Município";"2020";"2021";"2024";"2025"
"Brasil";"211755692";"213317639";"212583750";"213421037"
"Alta Floresta D'Oeste (RO)";"22728";"22516";"22853";"22787"
"Ariquemes (RO)";"109523";"111148";"108573";"109170"
"Cabixi (RO)";"5188";"5067";"5690";"5664"
"Cacoal (RO)";"85893";"86416";"97637";"98280"
"Cerejeiras (RO)";"16204";"16088";"16975";"16966"
"Colorado do Oeste (RO)";"15544";"15213";"16588";"16508"
"Corumbiara (RO)";"7220";"7052";"8001";"7968"
"Costa Marques (RO)";"18798";"19255";"13522";"13510"
"Espigão D'Oeste (RO)";"32695";"33009";"32717";"32842"
"Guajará-Mirim (RO)";"46556";"46930";"43553";"43594"
"Jaru (RO)";"51620";"51469";"55583";"55682"
"Ji-Paraná (RO)";"130009";"131026";"139359";"140101"
"Machadinho D'Oeste (RO)";"40867";"41724";"34063";"34149"
"Nova Brasilândia D'Oeste (RO)";"20489";"20504";"16504";"16374"
"Ouro Preto do Oeste (RO)";"35737";"35445";"38681";"38684"
"Pimenta Bueno (RO)";"36881";"37098";"39053";"39220"
"Porto Velho (RO)";"539354";"548952";"514873";"517709"
"Presidente Médici (RO)";"18571";"18165";"20518";"20443"
"Rio Crespo (RO)";"3804";"3843";"3753";"3767"
"Rolim de Moura (RO)";"55407";"55748";"62559";"62959"
"Santa Luzia D'Oeste (RO)";"6216";"5942";"7877";"7837"
"Vilhena (RO)";"102211";"104517";"108528";"109651"
"São Miguel do Guaporé (RO)";"23077";"23147";"22267";"22305"
"Nova Mamoré (RO)";"31392";"32184";"28496";"28701"
"Alvorada D'Oeste (RO)";"14106";"13807";"13837";"13720"
"Alto Alegre dos Parecis (RO)";"13255";"13268";"12263";"12237"
"Alto Paraíso (RO)";"21847";"22258";"17463";"17467"
"Buritis (RO)";"40356";"41043";"30729";"30649"
"Novo Horizonte do Oeste (RO)";"8329";"8125";"8056";"7972"
"Cacaulândia (RO)";"6269";"6307";"4345";"4292"
"Campo Novo de Rondônia (RO)";"14266";"14391";"9225";"9095"
"Candeias do Jamari (RO)";"27388";"28068";"24163";"24313"
"Castanheiras (RO)";"2987";"2923";"3456";"3450"
"Chupinguaia (RO)";"11472";"11755";"10129";"10191"
"Cujubim (RO)";"26183";"27131";"15883";"15877"
"Governador Jorge Teixeira (RO)";"7445";"7130";"8420";"8340"
"Itapuã do Oeste (RO)";"10641";"10819";"9209";"9228"
"Ministro Andreazza (RO)";"9559";"9461";"6657";"6519"
"Mirante da Serra (RO)";"10818";"10691";"9740";"9657"
"Monte Negro (RO)";"16007";"16158";"12241";"12168"
"Nova União (RO)";"6895";"6822";"6577";"6541"
"Parecis (RO)";"6198";"6319";"4390";"4372"
"Pimenteiras do Oeste (RO)";"2148";"2127";"2311";"2309"
"Primavera de Rondônia (RO)";"2776";"2697";"3279";"3268"
"São Felipe D'Oeste (RO)";"5066";"4962";"5605";"5588"
"São Francisco do Guaporé (RO)";"20681";"21088";"17511";"17557"
"Seringueiras (RO)";"11851";"11846";"12954";"12965"
"Teixeirópolis (RO)";"4233";"4160";"4536";"4521"
"Theobroma (RO)";"10395";"10348";"8540";"8459"
"Urupá (RO)";"11272";"11081";"11377";"11314"
"Vale do Anari (RO)";"11377";"11545";"8265";"8220"
"Vale do Paraíso (RO)";"6656";"6490";"6843";"6790"
"Acrelândia (AC)";"15490";"15721";"14657";"14712"
"Assis Brasil (AC)";"7534";"7649";"8573";"8648"
"Brasiléia (AC)";"26702";"27123";"27841";"28028"
"Bujari (AC)";"10420";"10572";"13766";"13928"
"Capixaba (AC)";"12008";"12280";"10922";"10981"
"Cruzeiro do Sul (AC)";"89072";"89760";"98382";"98916"
"Epitaciolândia (AC)";"18696";"18979";"19739";"19874"
"Feijó (AC)";"34884";"34986";"37644";"37764"
"Jordão (AC)";"8473";"8628";"9787";"9884"
"Mâncio Lima (AC)";"19311";"19643";"20329";"20479"
"Manoel Urbano (AC)";"9581";"9701";"12776";"12923"
"Marechal Thaumaturgo (AC)";"19299";"19727";"17951";"18057"
"Plácido de Castro (AC)";"19955";"20147";"17127";"17107"
"Porto Walter (AC)";"12241";"12497";"11275";"11333"
"Rio Branco (AC)";"413418";"419452";"387852";"389001"
"Rodrigues Alves (AC)";"19351";"19767";"15537";"15560"
"Santa Rosa do Purus (AC)";"6717";"6893";"7143";"7217"
"Senador Guiomard (AC)";"23236";"23446";"22352";"22402"
"Sena Madureira (AC)";"46511";"47168";"43916";"44049"
"Tarauacá (AC)";"43151";"43730";"46517";"46816"
"Xapuri (AC)";"19596";"19866";"19090";"19170"
"Porto Acre (AC)";"18824";"19141";"17455";"17523"
"Alvarães (AM)";"16220";"16396";"16670";"16806"
"Amaturá (AM)";"11736";"11934";"11411";"11533"
"Anamã (AM)";"13956";"14292";"10318";"9981"
"Anori (AM)";"21477";"21937";"17932";"18056"
"Apuí (AM)";"22359";"22739";"21735";"21781"
"Atalaia do Norte (AM)";"20398";"20868";"15892";"15889"
"Autazes (AM)";"40290";"41005";"45328";"45960"
"Barcelos (AM)";"27638";"27772";"18626";"18210"
"Barreirinha (AM)";"32483";"32919";"33436";"33722"
"Benjamin Constant (AM)";"43935";"44873";"40509";"40908"
"Beruri (AM)";"20093";"20503";"22136";"22495"
"Boa Vista do Ramos (AM)";"19626";"20040";"25769";"26479"
"Boca do Acre (AM)";"34635";"34958";"38246";"38792"
"Borba (AM)";"41748";"42328";"34879";"34869"
"Caapiranga (AM)";"13283";"13482";"14310";"14806"
"Canutama (AM)";"15807";"15981";"17885";"18109"
"Carauari (AM)";"28508";"28719";"30892";"31130"
"Careiro (AM)";"38348";"38820";"32442";"32336"
"Careiro da Várzea (AM)";"30846";"31459";"19809";"20324"
"Coari (AM)";"85910";"86713";"73820";"73576"
"Codajás (AM)";"29168";"29691";"24451";"24572"
"Eirunepé (AM)";"35700";"36121";"35534";"35793"
"Envira (AM)";"20393";"20748";"17920";"17985"
"Fonte Boa (AM)";"17005";"16409";"27875";"28227"
"Guajará (AM)";"16937";"17193";"14332";"14344"
"Humaitá (AM)";"56144";"57195";"62312";"63454"
"Ipixuna (AM)";"30436";"31172";"25458";"25629"
"Iranduba (AM)";"49011";"49718";"67114";"68862"
"Itacoatiara (AM)";"102701";"104046";"112520";"113917"
"Itamarati (AM)";"7814";"7777";"11730";"11956"
"Itapiranga (AM)";"9230";"9312";"10805";"10955"
"Japurá (AM)";"2251";"1755";"9397";"9420"
"Juruá (AM)";"15106";"15495";"11152";"11093"
"Jutaí (AM)";"13886";"13462";"27656";"28202"
"Lábrea (AM)";"46882";"47685";"48927";"49469"
"Manacapuru (AM)";"98502";"99613";"110691";"111751"
"Manaquiri (AM)";"33049";"33981";"17009";"16211"
"Manaus (AM)";"2219580";"2255903";"2279686";"2303732"
"Manicoré (AM)";"56583";"57405";"57758";"58018"
"Maraã (AM)";"18261";"18298";"15843";"15815"
"Maués (AM)";"65040";"66159";"65714";"66336"
"Nhamundá (AM)";"21443";"21710";"21106";"21251"
"Nova Olinda do Norte (AM)";"38026";"38665";"28267";"28123"
"Novo Airão (AM)";"19928";"20395";"16467";"16562"
"Novo Aripuanã (AM)";"26046";"26443";"24987";"25325"
"Parintins (AM)";"115363";"116439";"101956";"101855"
"Pauini (AM)";"19522";"19616";"20232";"20229"
"Presidente Figueiredo (AM)";"37193";"38095";"33004";"33291"
"Rio Preto da Eva (AM)";"34106";"34856";"25723";"25364"
"Santa Isabel do Rio Negro (AM)";"25865";"26566";"14176";"13947"
"Santo Antônio do Içá (AM)";"21243";"20889";"30448";"30679"
"São Gabriel da Cachoeira (AM)";"46303";"47031";"56406";"57396"
"São Paulo de Olivença (AM)";"40073";"40837";"35196";"35442"
"São Sebastião do Uatumã (AM)";"14352";"14678";"12247";"12338"
"Silves (AM)";"9230";"9289";"12404";"12619"
"Tabatinga (AM)";"67182";"68502";"72283";"73348"
"Tapauá (AM)";"17015";"16876";"20501";"20728"
"Tefé (AM)";"59547";"59250";"79278";"80137"
"Tonantins (AM)";"18897";"19038";"20224";"20257"
"Uarini (AM)";"13690";"13839";"15278";"15640"
"Urucará (AM)";"16130";"16007";"19505";"19617"
"Urucurituba (AM)";"23585";"24098";"25592";"25965"
"Amajari (RR)";"13185";"13561";"15583";"16112"
"Alto Alegre (RR)";"15380";"15249";"23049";"23589"
"Boa Vista (RR)";"419652";"436591";"470169";"485477"
"Bonfim (RR)";"12557";"12701";"15222";"15570"
