numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;diferenca_valor;variacao_percentual;proporcao_homologado_estimado;flag_homologado_acima_estimado;flag_houve_desconto;lead_time_dias;criterio_menor_preco;flag_situacao_certame;flag_informatica
4;2025;Audiência Pública;Fase Certame;Audiência Pública que visa subsidiar o processo de Contratação de Empresa Especializada para Prestação de Serviços de Gestão de Margem Consignável e Descontos Facultativos, mediante disponibilização de Sistema Informatizado, integrado ao Sistema de Folha de Pagamento dos servidores públicos estaduais, civis e militares, ativos e inativos e pensionistas de geradores de pensão do Governo do Estado do Paraná.;SEAP-Secretaria de Estado da Administração e da Previdência;Menor Preço;0.0;;2025-07-08;;TB_LICITACOES-2025.csv;audiência pública que visa subsidiar o processo de contratação de empresa especializada para prestação de serviços de gestão de margem consignável e descontos facultativos, mediante disponibilização de sistema informatizado, integrado ao sistema de folha de pagamento dos servidores públicos estaduais, civis e militares, ativos e inativos e pensionistas de geradores de pensão do governo do estado do paraná.;0.0;0.0;0.0;False;True;0.0;True;True;True
10;2025;Audiência Pública;Fase Certame;relativo a contratação de empresa, ou consórcio de empresa para implantação da solução tecnológica com o objetivo fornecer ao Estado do Paraná uma plataforma inteligente de videomonitoramento e integração de dados;SGSD-Superintendência Geral de Governança de Serviços e Dados;Menor Preço;0.0;;2025-09-11;;TB_LICITACOES-2025.csv;relativo a contratação de empresa, ou consórcio de empresa para implantação da solução tecnológica com o objetivo fornecer ao estado do paraná uma plataforma inteligente de videomonitoramento e integração de dados;0.0;0.0;0.0;False;True;0.0;True;True;True
23;2025;Chamamento Público;Fase Certame;"Credenciamento de Permissionários para exercer a permissão administrativa de uso do espaço público, a título gratuito, de área física do Edifício Oswaldo Pacheco de Lacerda, sede do Departamento de Estradas de Rodagem do Paraná - antigo mini auditório, para a instalação, operação e exploração comercial de alimentos e bebidas por meio de Máquinas Automáticas de Conveniência e Alimentação, a fim de oferecer produtos como conveniências, petiscos, lanches, bebidas e outros alimentos de fácil consumo, na modalidade venda direta ao consumidor, com tecnologia de autoatendimento, para atendimento dos servidores, funcionários, estagiários, terceirizados e visitantes do DER/PR.
";DER-Departamento de Estradas de Rodagem do Estado do Paraná;-;0.0;;2025-09-17;;TB_LICITACOES-2025.csv;credenciamento de permissionários para exercer a permissão administrativa de uso do espaço público, a título gratuito, de área física do edifício oswaldo pacheco de lacerda, sede do departamento de estradas de rodagem do paraná - antigo mini auditório, para a instalação, operação e exploração comercial de alimentos e bebidas por meio de máquinas automáticas de conveniência e alimentação, a fim de oferecer produtos como conveniências, petiscos, lanches, bebidas e outros alimentos de fácil consumo, na modalidade venda direta ao consumidor, com tecnologia de autoatendimento, para atendimento dos servidores, funcionários, estagiários, terceirizados e visitantes do der/pr.;0.0;0.0;0.0;False;True;0.0;False;True;True
13;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Execução dos serviços para recuperação de aterro, contenção do processo erosivo e melhorias no sistema de drenagem existente. Localizado nas proximidades do km 470,350 da rodovia PR-082, no município de Cianorte - PR, trecho do S.R.E - Sistema Rodoviário Estadual sob o código 082S0320EPR, no âmbito da Superintendência Regional Noroeste do DER/PR.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;90962114.0;60000000.0;2025-04-15;2025-05-26;TB_LICITACOES-2025.csv;execução dos serviços para recuperação de aterro, contenção do processo erosivo e melhorias no sistema de drenagem existente. localizado nas proximidades do km 470,350 da rodovia pr-082, no município de cianorte - pr, trecho do s.r.e - sistema rodoviário estadual sob o código 082s0320epr, no âmbito da superintendência regional noroeste do der/pr.;30962114.0;34.03847232486263;0.6596152767513737;False;True;41.0;True;False;True
14;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Execução de obras de contenção de águas pluviais e demais dispositivos de drenagem na rodovia PR-685 trecho Entr. PR-492 Entr. PR-559, para solucionar problemas de erosão de solo em propriedades lindeiras aos dispositivos de drenagem da rodovia PR-685, por determinação do Ministério Público.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;95414521.0;56999000.0;2025-04-14;2025-06-10;TB_LICITACOES-2025.csv;execução de obras de contenção de águas pluviais e demais dispositivos de drenagem na rodovia pr-685 trecho entr. pr-492 entr. pr-559, para solucionar problemas de erosão de solo em propriedades lindeiras aos dispositivos de drenagem da rodovia pr-685, por determinação do ministério público.;38415521.0;40.26171341362181;0.5973828658637819;False;True;57.0;True;False;True
35;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Fase Certame;CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA NO SEGMENTO HOSPITALAR, OBJETIVANDO A PRESTAÇÃO DE SERVIÇOS MÉDICOS, EQUIPE MULTIDISCIPLINAR ASSISTENCIAL, FORNECIMENTO DE EQUIPAMENTOS, DE FORMA COMPLEMENTAR E ACESSÓRIOS MÉDICO HOSPITALARES COM MANUTENÇÃO PREVENTIVA E CORRETIVA DOS RESPECTIVOS EQUIPAMENTOS, OPME, INSTRUMENTAIS CIRÚRGICOS, INSUMOS HOSPITALARES, MEDICAMENTOS E SERVIÇOS COMPLEMENTARES COM LAUDOS PARA DIAGNÓSTICO E TRATAMENTO, VISANDO O ATENDIMENTO DOS USUÁRIOS DO SISTEMA ÚNICO DE SAÚDE NO HOSPITAL REGIONAL DO CENTRO OESTE  HRCO, PELO PERÍODO DE 24 VINTE E QUATRO MESES;FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;8254613712.0;;2025-08-08;;TB_LICITACOES-2025.csv;contratação de pessoa jurídica especializada no segmento hospitalar, objetivando a prestação de serviços médicos, equipe multidisciplinar assistencial, fornecimento de equipamentos, de forma complementar e acessórios médico hospitalares com manutenção preventiva e corretiva dos respectivos equipamentos, opme, instrumentais cirúrgicos, insumos hospitalares, medicamentos e serviços complementares com laudos para diagnóstico e tratamento, visando o atendimento dos usuários do sistema único de saúde no hospital regional do centro oeste hrco, pelo período de 24 vinte e quatro meses;0.0;0.0;0.0;False;True;0.0;True;True;True
72;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Sistema de Geração de Energia Solar Fotovoltaico, com potência mínima de 7,09 MWP, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no Campus da Universidade Estadual de Londrina UEL. ;UEL-Universidade Estadual de Londrina;Maior Desconto;3224425182.0;;2025-10-24;;TB_LICITACOES-2025.csv;sistema de geração de energia solar fotovoltaico, com potência mínima de 7,09 mwp, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no campus da universidade estadual de londrina uel.;0.0;0.0;0.0;False;True;0.0;False;False;True
109;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Contratação de empresa especializada para execução o fornecimento, implantação, operação, manutenção e suporte técnico de solução integrada de software e hardware destinada ao controle de acesso e à gestão da visitação à Ilha do Mel, compreendendo todos os equipamentos, sistemas, serviços e demais elementos necessários à plena execução do objeto, no município de Paranaguá Paraná;IAT-Instituto Água e Terra (Antigo IAP);Menor Preço;1012862209.0;;2025-11-10;;TB_LICITACOES-2025.csv;contratação de empresa especializada para execução o fornecimento, implantação, operação, manutenção e suporte técnico de solução integrada de software e hardware destinada ao controle de acesso e à gestão da visitação à ilha do mel, compreendendo todos os equipamentos, sistemas, serviços e demais elementos necessários à plena execução do objeto, no município de paranaguá paraná;0.0;0.0;0.0;False;True;0.0;True;False;True
124;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;"Execução de obras para a recuperação do aterro e do sistema de drenagem existente, localizado na rodovia 082, entre os km 521,24 e km 521,85, no município de Cidade Gaúcha - PR, trecho do S.R.E  sob o código 082S0393EPR, no âmbito da Superintendência Regional Noroeste do DER/PR.
";DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;140200742.0;;2025-11-04;;TB_LICITACOES-2025.csv;execução de obras para a recuperação do aterro e do sistema de drenagem existente, localizado na rodovia 082, entre os km 521,24 e km 521,85, no município de cidade gaúcha - pr, trecho do s.r.e sob o código 082s0393epr, no âmbito da superintendência regional noroeste do der/pr.;0.0;0.0;0.0;False;True;0.0;True;False;True
2;2025;Credenciamento;Fase Certame;Credenciamento de interessadas, com estabelecimento situado na cidade de Curitiba e Região Metropolitana, para a prestação de serviços médico-hospitalares aos usuários do Sistema de Saúde da Polícia Militar do Paraná, na área de Oftalmologia, atendendo a todos os serviços descritos no lote, na sede da credenciada, conforme especificações do Anexo I - Termo de Referência, do Edital.;PMPR-HPM-Hospital da Polícia Militar - SESP;-;378791675.0;;2025-02-25;;TB_LICITACOES-2025.csv;credenciamento de interessadas, com estabelecimento situado na cidade de curitiba e região metropolitana, para a prestação de serviços médico-hospitalares aos usuários do sistema de saúde da polícia militar do paraná, na área de oftalmologia, atendendo a todos os serviços descritos no lote, na sede da credenciada, conforme especificações do anexo i - termo de referência, do edital.;0.0;0.0;0.0;False;True;0.0;False;True;True
