cod_ibge,municipio,ano,populacao,total_despesas,total_pc,saude,educacao,administracao,saude_prop,educacao_prop,hhi,n_funcoes_declaradas,flag_negativo,score_if,score_lof,score,classe
4100103,Abatiá,2020,7408,23431498.39,3162.999242710583,5826829.3,5200382.47,923768.34,0.2486750613646949,0.22193981722566225,0.17044599795998494,16,False,0.36170739305565336,0.07653638010121526,0.2476389878738781,Suspeita
4100103,Abatiá,2021,7360,24528094.969999995,3332.621599184782,6638269.09,6949313.21,1022846.23,0.2706394075087847,0.28332054399249584,0.19220189472724972,16,False,0.39476641277860164,0.06982466873862556,0.2647897151626112,Suspeita
4100103,Abatiá,2022,7330,37621307.760000005,5132.511290586631,8836758.66,8566894.92,985306.47,0.23488706762595535,0.22771390549874918,0.1736830743956153,16,False,0.4313099499697681,0.07147604291197335,0.2873763871466502,Suspeita
4100103,Abatiá,2023,7301,41659546.029999994,5706.005482810573,9030416.49,11211172.79,1137178.31,0.2167670402240339,0.26911413729584516,0.17353287741136736,16,False,0.3730165299015897,0.10353546377647056,0.265224103451542,Suspeita
4100103,Abatiá,2024,7271,40393403.63,5555.412409572274,10093079.67,10883436.42,1213966.77,0.2498695025170871,0.26943598315436135,0.17086793456598762,16,False,0.4519213238382501,0.1180780293855379,0.3183840060571652,Suspeita
4100202,Adrianópolis,2020,5857,30557533.36,5217.267092368106,7059508.32,5953298.92,7343558.91,0.2310235003863545,0.194822626874488,0.17785202291238966,12,False,0.20208529772509232,0.025498369560751695,0.13145052645935607,Regular
4100202,Adrianópolis,2021,5797,35123898.38,6058.978502673797,7763439.53,6502422.19,9856303.7,0.2210301216000728,0.18512814607454173,0.18374340330038147,14,False,0.2562297266565988,0.04152259488993931,0.17034687394993503,Regular
4100202,Adrianópolis,2022,5974,45392940.22,7598.416508202209,12498875.74,10052626.08,10163682.43,0.27534845020885057,0.22145791903497017,0.19622196386810037,15,False,0.14096121155822655,0.004457388229754702,0.0863596822268378,Regular
4100202,Adrianópolis,2023,6150,50990865.05,8291.19756910569,9049831.68,11158569.26,15051441.44,0.17747946953098417,0.2188346726233859,0.18309270106750603,14,False,0.23059257106011521,0.03832076986954869,0.1536838505838886,Regular
4100202,Adrianópolis,2024,6327,58329632.73,9219.16117117117,12799986.57,9947609.04,16599218.57,0.21944226237887374,0.17054125963806663,0.1820881673360592,14,False,0.2120194525498714,0.03483641084392468,0.1411462358674927,Regular
4100202,Adrianópolis,2025,6319,61399519.09,9716.651224877354,12507985.46,13275232.11,11711760.04,0.20371471381829026,0.21621068547037048,0.1528972678936744,14,False,0.15395486351198742,0.029882293391992863,0.10432583546398959,Regular
4100301,Agudos do Sul,2020,9470,27763385.97,2931.719743400211,8830923.8,6717070.01,3849503.09,0.3180780546559538,0.24193987063603106,0.19288962018206043,13,False,0.039512044975582056,0.0024016700681031697,0.0246678950125905,Regular
4100301,Agudos do Sul,2021,9567,29462506.240000002,3079.5971819797223,9649817.16,7303825.53,5162607.59,0.3275287268976069,0.2479023838129529,0.2095678888293864,12,False,0.05479797297997799,0.0045850167369593,0.03471279048277051,Regular
4100301,Agudos do Sul,2022,9927,41288658.59,4159.2282250428125,12913036.79,12175942.98,5841511.16,0.31275021352055987,0.2948980033695979,0.21840921393420487,13,False,0.13739454412741955,0.02192522239109121,0.09120681543288821,Regular
4100301,Agudos do Sul,2023,10286,48989315.669999994,4762.717836865642,13200887.12,12958475.93,5832540.87,0.2694646156913749,0.26451636959557473,0.18045812107474235,13,False,0.026810310236947615,0.017695562049352485,0.023164410961909562,Regular
4100301,Agudos do Sul,2024,10646,67764430.36,6365.248014277663,14904272.64,22423365.39,9060252.48,0.2199424175901831,0.33090170272037095,0.2002269594459974,12,False,0.07776183215397409,0.01476467545140902,0.05256296947294806,Regular
4100301,Agudos do Sul,2025,10770,73999997.0,6870.937511606314,17679662.78,19264641.26,9252761.32,0.23891437157760967,0.2603330005540406,0.16291799663989082,13,False,0.07411459711785609,0.016725135838612258,0.05115881260615855,Regular
4100400,Almirante Tamandaré,2020,120041,225026120.25,1874.5771882106947,48127288.23,58935687.65,21582856.72,0.21387423014062296,0.2619059848897697,0.15507045826723923,21,False,0.1331589158592694,0.018576819059880626,0.08732607713951389,Regular
4100400,Almirante Tamandaré,2021,121420,242465737.25,1996.9176185966069,53507525.8,63436506.8,21318399.46,0.22068077084569604,0.26163080821020207,0.1530167310107633,21,False,0.14295444327832432,0.014363059282639971,0.09151788968005058,Regular
4100400,Almirante Tamandaré,2022,122543,303082766.00000006,2473.2768579192616,64242172.11,84792591.72,55562587.27,0.2119624713666497,0.279767117210485,0.1729221238776667,21,False,0.2346251023045018,0.013106084338387492,0.14601749511805606,Regular
4100400,Almirante Tamandaré,2023,123665,346874204.15,2804.9505045890105,70988045.34,99232274.06,57903783.3,0.20465069033874425,0.2860756806726644,0.1736458362287742,22,False,0.14135484033825038,0.008945479440711054,0.08839109597923464,Regular
4100400,Almirante Tamandaré,2024,124788,411584374.43000007,3298.2688594255865,90071591.44,104125273.16,35979123.19,0.21884113449335735,0.2529864582546465,0.15949770409845732,21,False,0.14761738940583963,0.006505285171991239,0.09117254771230027,Regular
4100459,Altamira do Paraná,2020,1682,23007517.459999993,13678.666741973837,5283878.17,2846324.24,4647787.89,0.2296587704078179,0.12371279278385913,0.14421834712247192,16,False,0.3102128271560259,0.013105959512948202,0.1913700800987948,Regular
4100459,Altamira do Paraná,2021,1429,21391838.36,14969.795913226031,5798975.37,3351595.6,4949451.14,0.2710835446869934,0.1566763708474469,0.16909901724419021,15,False,0.43530838288519036,0.01966849603019154,0.2690524281431908,Suspeita
4100459,Altamira do Paraná,2022,2134,31357125.310000002,14694.060595126524,7697436.43,5194276.04,6417860.61,0.2454764699857622,0.1656489869096358,0.15014210039492737,16,False,0.47566286905732097,0.045913340044741506,0.30376305745228915,Suspeita
4100459,Altamira do Paraná,2023,2838,30425100.34,10720.613227625088,8368444.42,5396484.19,3191291.37,0.27505067613525574,0.17736947880843046,0.1460620353439845,17,False,0.3853369045104436,0.0842876250005556,0.2649171927064884,Suspeita
4100459,Altamira do Paraná,2024,3543,39937059.46000001,11272.102585379624,9144524.04,6917022.46,3617039.36,0.22897339372616887,0.17319809103441686,0.13950082443205247,17,False,0.3779408101295756,0.025610544927242854,0.2370087040486425,Suspeita
