numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia
2;2023;Licitação Presencial - Estatal;Homologado;"O objeto desta licitação é a cessão onerosa de área portuária não operacional de 250.000 metros quadrados, compostas pela área do PDZ vigente denominada ANOP01 com 154.412 metros quadrados e área marítima adicional para viabilização do empreendimento com 95.588 metros quadrados, para  destinação ao projeto de revitalização e implantação do Complexo Turístico Marina Antonina,
conforme projeto conceitual, justificativas, normas e demais especificações estabelecidas no EVTEA simplificado, neste Edital e anexos
";APPA-Administração dos Portos de Paranaguá e Antonina;Maior Lance;914942160.0;3515226100.0;2023-10-05;2023-12-05;TB_LICITACOES-2023.csv;o objeto desta licitação é a cessão onerosa de área portuária não operacional de 250.000 metros quadrados, compostas pela área do pdz vigente denominada anop01 com 154.412 metros quadrados e área marítima adicional para viabilização do empreendimento com 95.588 metros quadrados, para destinação ao projeto de revitalização e implantação do complexo turístico marina antonina, conforme projeto conceitual, justificativas, normas e demais especificações estabelecidas no evtea simplificado, neste edital e anexos;3.8420200245226432;True;61.0;2023;66;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.7038908420878677;0.9418850937975314;0.34689946452337217;Anomalia Crítica;True
31;2025;Credenciamento;Fase Certame;Credenciamento de LEILOEIROS OFICIAIS, matriculados na Junta Comercial do Estado do Paraná - JUCEPAR, visando a alienação de bens moveis pertencentes à UENP.;UENP-Universidade Estadual do Norte do Paraná;-;500.0;;2025-06-16;;TB_LICITACOES-2025.csv;credenciamento de leiloeiros oficiais, matriculados na junta comercial do estado do paraná - jucepar, visando a alienação de bens moveis pertencentes à uenp.;;False;;2025;66;uenp-universidade estadual do norte do parana;;;;mobiliario;0.6994290977911126;0.49904849631852105;1.0;Anomalia Crítica;True
3;2022;Concorrência Pública;Deserto;OUTORGA DE PERMISSÃO DE USO, DE ÁREA ESPECÍFICA DESTINADA À INSTALAÇÃO E EXPLORAÇÃO EM REGIME DE PERMISSÃO DE USO DE ESPAÇO PÚBLICO, PARA INSTALAÇÃO E EXPLORAÇÃO DE SERVIÇOS DE 01 CANTINA UNIVERSITÁRIA NO CAMPUS REGIONAL DE GOIOERÊ - CRG, ESTADO DO PARANÁ;UEM-Universidade Estadual de Maringá;Maior Preço;15000.0;;2022-02-25;;TB_LICITACOES-2022.csv;outorga de permissão de uso, de área específica destinada à instalação e exploração em regime de permissão de uso de espaço público, para instalação e exploração de serviços de 01 cantina universitária no campus regional de goioerê - crg, estado do paraná;;False;;2022;161;uem-universidade estadual de maringa;Maringá;429660.0;0.681;outros;0.6951907650645182;0.6731711474812402;0.728220191439435;Anomalia Crítica;True
25;2022;Concorrência Pública;Deserto;OUTORGA DE PERMISSAO DE USO, DE AREA ESPECIFICA DESTINADA A INSTALACAO E EXPLORACAO EM REGIME DE PERMISSAO DE USO DE ESPACO PUBLICO, PARA INSTALACAO E EXPLORACAO DE SERVICOS DE 01 CANTINA UNIVERSITARIA NO CAMPUS REGIONAL DE GOIOERE CRG, ESTADO DO PARANA;UEM-Universidade Estadual de Maringá;Maior Preço;15000.0;;2022-05-25;;TB_LICITACOES-2022.csv;outorga de permissao de uso, de area especifica destinada a instalacao e exploracao em regime de permissao de uso de espaco publico, para instalacao e exploracao de servicos de 01 cantina universitaria no campus regional de goioere crg, estado do parana;;False;;2022;161;uem-universidade estadual de maringa;Maringá;429660.0;0.681;outros;0.6734102633918705;0.6238126492193011;0.7478066846507245;Anomalia Crítica;True
13;2023;Concorrência Pública;Fracassado;Concessão Onerosa de Uso do Espaço Físico para Exploração dos Serviços de Cantina no Centro de Convivência da Unioeste/Campus de Marechal Cândido Rondon;UNIOESTE MCROND-Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon;Maior Lance;103333.0;;2023-03-31;;TB_LICITACOES-2023.csv;concessão onerosa de uso do espaço físico para exploração dos serviços de cantina no centro de convivência da unioeste/campus de marechal cândido rondon;;False;;2023;28;unioeste mcrond-universidade estadual do oeste do parana - campus marechal candido rondon;Marechal Cândido Rondon;58734.0;0.688;outros;0.6693577370910264;0.6750155690240693;0.660870989191462;Anomalia Crítica;True
11;2022;Concorrência Pública;Deserto;OUTORGA DE PERMISSÃO DE USO, DE ÁREA ESPECÍFICA DESTINADA À INSTALAÇÃO E EXPLORAÇÃO EM REGIME DE PERMISSÃO DE USO DE ESPAÇO PÚBLICO, PARA INSTALAÇÃO E EXPLORAÇÃO DE SERVIÇOS DE 01 -UMA - CANTINA UNIVERSITÁRIA NO CÂMPUS-SEDE DA UEM, ESTADO DO PARANÁ;UEM-Universidade Estadual de Maringá;Maior Preço;63994.0;;2022-04-01;;TB_LICITACOES-2022.csv;outorga de permissão de uso, de área específica destinada à instalação e exploração em regime de permissão de uso de espaço público, para instalação e exploração de serviços de 01 -uma - cantina universitária no câmpus-sede da uem, estado do paraná;;False;;2022;161;uem-universidade estadual de maringa;Maringá;429660.0;0.681;outros;0.6513662607440172;0.6260673904288261;0.6893145662168036;Anomalia Crítica;True
56;2022;Concorrência Pública;Deserto;OUTORGA DE PERMISSÃO DE USO, DE ÁREA ESPECÍFICA DESTINADA À INSTALAÇÃO E EXPLORAÇÃO EM REGIME DE PERMISSÃO DE USO DE ESPAÇO PÚBLICO, PARA INSTALAÇÃO E EXPLORAÇÃO DE SERVIÇOS DE 01 CANTINA UNIVERSITÁRIA NO CAMPUS REGIONAL DE UMUARAMA - CAU/CTC, ESTADO DO PARANÁ;UEM-Universidade Estadual de Maringá;Maior Preço;26667.0;;2022-07-13;;TB_LICITACOES-2022.csv;outorga de permissão de uso, de área específica destinada à instalação e exploração em regime de permissão de uso de espaço público, para instalação e exploração de serviços de 01 cantina universitária no campus regional de umuarama - cau/ctc, estado do paraná;;False;;2022;161;uem-universidade estadual de maringa;Maringá;429660.0;0.681;outros;0.6505356650448432;0.5946322874816938;0.7343907313895671;Anomalia Crítica;True
72;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Sistema de Geração de Energia Solar Fotovoltaico, com potência mínima de 7,09 MWP, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no Campus da Universidade Estadual de Londrina UEL. ;UEL-Universidade Estadual de Londrina;Maior Desconto;3224425182.0;;2025-10-24;;TB_LICITACOES-2025.csv;sistema de geração de energia solar fotovoltaico, com potência mínima de 7,09 mwp, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no campus da universidade estadual de londrina uel.;;False;;2025;232;uel-universidade estadual de londrina;Londrina;581382.0;0.725;veiculos;0.6487574647322637;0.9710762733807459;0.16527925175954053;Anomalia Crítica;True
2;2022;Convite;Homologado;Descarte de 86 animais bovinos raças leiteiras, sendo 47 fêmeas e 39 machos, descarte de pesquisa.;IDR-Instituto de Desenvolvimento Rural do Paraná - IAPAR-EMATER;Maior Preço;45150.0;5651100.0;2022-07-05;2022-07-08;TB_LICITACOES-2022.csv;descarte de 86 animais bovinos raças leiteiras, sendo 47 fêmeas e 39 machos, descarte de pesquisa.;10.0;True;3.0;2022;36;idr-instituto de desenvolvimento rural do parana - iapar-emater;;;;outros;0.6385310735381686;0.6497057994441106;0.6217689846792559;Anomalia Crítica;True
17;2023;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o Fundeadouro 6 dos Portos de Paranaguá e Antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no Termo de Referência, Edital e demais documentos técnicos.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;28516784193.0;1.0;2024-03-20;2024-04-29;TB_LICITACOES-2023.csv;contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o fundeadouro 6 dos portos de paranaguá e antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no termo de referência, edital e demais documentos técnicos.;3.506706763399603e-11;False;40.0;2024;22;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.6358467094106154;1.0;0.0896167735265385;Anomalia Crítica;True
