cod_ibge,municipio,ano,legislativa,judiciaria,essencial_justica,administracao,defesa_nacional,seguranca_publica,relacoes_exteriores,assistencia_social,previdencia_social,saude,trabalho,educacao,cultura,direitos_cidadania,urbanismo,habitacao,saneamento,gestao_ambiental,ciencia_tecnologia,agricultura,organizacao_agraria,industria,comercio_servicos,comunicacoes,energia,transporte,desporto_lazer,encargos_especiais,reserva_contingencia,total_despesas,populacao,n_funcoes_declaradas,flag_negativo,legislativa_pc,judiciaria_pc,essencial_justica_pc,administracao_pc,defesa_nacional_pc,seguranca_publica_pc,relacoes_exteriores_pc,assistencia_social_pc,previdencia_social_pc,saude_pc,trabalho_pc,educacao_pc,cultura_pc,direitos_cidadania_pc,urbanismo_pc,habitacao_pc,saneamento_pc,gestao_ambiental_pc,ciencia_tecnologia_pc,agricultura_pc,organizacao_agraria_pc,industria_pc,comercio_servicos_pc,comunicacoes_pc,energia_pc,transporte_pc,desporto_lazer_pc,encargos_especiais_pc,reserva_contingencia_pc,total_pc,legislativa_prop,judiciaria_prop,essencial_justica_prop,administracao_prop,defesa_nacional_prop,seguranca_publica_prop,relacoes_exteriores_prop,assistencia_social_prop,previdencia_social_prop,saude_prop,trabalho_prop,educacao_prop,cultura_prop,direitos_cidadania_prop,urbanismo_prop,habitacao_prop,saneamento_prop,gestao_ambiental_prop,ciencia_tecnologia_prop,agricultura_prop,organizacao_agraria_prop,industria_prop,comercio_servicos_prop,comunicacoes_prop,energia_prop,transporte_prop,desporto_lazer_prop,encargos_especiais_prop,reserva_contingencia_prop,saude_var,educacao_var,administracao_var,urbanismo_var,assistencia_social_var,transporte_var,log_pop_cl,log_total_pc_cl,saude_prop_cl,educacao_prop_cl,administracao_prop_cl,cluster,saude_dev,educacao_dev,administracao_dev,urbanismo_dev,assistencia_social_dev,transporte_dev,log_pop,hhi
4100103,Abatiá,2020,846401.18,128307.29,0.0,923768.34,0.0,0.0,0.0,629493.97,0.0,5826829.3,4214333.47,5200382.47,13443.15,0.0,3187059.83,0.0,1557220.86,163164.96,0.0,60456.21,0.0,28306.52,0.0,0.0,0.0,235878.66,929.08,415523.1,0.0,23431498.39,7408,16,False,114.25501889848813,17.32009854211663,0.0,124.69874999999999,0.0,0.0,0.0,84.97488795896328,0.0,786.5590307775378,568.8895072894168,701.995473812095,1.8146800755939525,0.0,430.2186595572354,0.0,210.2079994600432,22.025507559395248,0.0,8.160935475161986,0.0,3.821074514038877,0.0,0.0,0.0,31.84107181425486,0.12541576673866092,56.09113120950324,0.0,3162.999242710583,0.03612236682060519,0.0054758465662084355,0.0,0.039424211146233915,0.0,0.0,0.0,0.026865288746051888,0.0,0.2486750613646949,0.1798576172917126,0.22193981722566225,0.0005737213120667184,0.0,0.13601604886523863,0.0,0.06645844128622114,0.00696348809129658,0.0,0.0025801256494036784,0.0,0.0012080541981933405,0.0,0.0,0.0,0.010066733935404974,3.965090002082449e-05,0.017733526600984904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.910450756416656,8.059592089541935,0.2486750613646949,0.22193981722566225,0.039424211146233915,1,-1.2742045432475362,-1.3626255068591449,-1.5026432067855158,-0.3974701785054128,-1.304111632763958,-0.6186993558350589,8.910450756416656,0.17044599795998494
4100103,Abatiá,2021,882618.89,74376.09,0.0,1022846.23,0.0,0.0,0.0,779896.4,0.0,6638269.09,3992935.08,6949313.21,102532.81,0.0,1394770.83,0.0,1592756.61,187574.27,0.0,34425.24,0.0,35000.0,0.0,0.0,0.0,314986.98,13878.51,511914.73,0.0,24528094.969999995,7360,16,False,119.92104483695653,10.105447010869565,0.0,138.97367255434781,0.0,0.0,0.0,105.9641847826087,0.0,901.9387350543478,542.5183532608696,944.2001644021739,13.93108831521739,0.0,189.50690625000001,0.0,216.4071480978261,25.485634510869563,0.0,4.6773423913043475,0.0,4.755434782608695,0.0,0.0,0.0,42.79714402173913,1.8856671195652175,69.55363179347826,0.0,3332.621599184782,0.03598399676287621,0.00303228155676046,0.0,0.0417010057752561,0.0,0.0,0.0,0.03179604453398772,0.0,0.2706394075087847,0.16279026499545557,0.28332054399249584,0.004180219055960383,0.0,0.05686421353578118,0.0,0.06493600958199489,0.007647323211583277,0.0,0.0014035023935656265,0.0,0.0014269351143171966,0.0,0.0,0.0,0.012841885208992243,0.0005658209500972102,0.020870545822091625,0.0,0.14668918639552533,0.3450231513243494,0.11447526582542188,-0.5595102582369782,0.2470058781811131,0.34408616240673684,8.903951072058707,8.11181455932435,0.2706394075087847,0.28332054399249584,0.0417010057752561,1,-1.0441924751361824,-0.9045222980672062,-1.4571044676722293,-0.8558412675809572,-1.114529038141008,-0.5956370375381086,8.903951072058707,0.19220189472724972
4100103,Abatiá,2022,996559.47,37656.72,0.0,985306.47,0.0,0.0,0.0,988983.79,0.0,8836758.66,4027267.75,8566894.92,280303.18,0.0,8295561.99,0.0,1925839.44,181796.01,0.0,1419020.27,0.0,27000.0,0.0,0.0,0.0,343038.88,70229.93,639090.28,0.0,37621307.760000005,7330,16,False,135.95627148703957,5.1373424283765345,0.0,134.42107366984993,0.0,0.0,0.0,134.92275443383357,0.0,1205.5605266030013,549.4226125511597,1168.7441909959073,38.240542974079126,0.0,1131.7274201909959,0.0,262.73389358799454,24.801638472032742,0.0,193.5907598908595,0.0,3.6834924965893587,0.0,0.0,0.0,46.79930150068213,9.581163710777625,87.18830559345157,0.0,5132.511290586631,0.02648922988954597,0.0010009412814734114,0.0,0.02619011748038181,0.0,0.0,0.0,0.026287863152155345,0.0,0.23488706762595535,0.10704752146553237,0.22771390549874918,0.007450649557111513,0.0,0.22050169130005806,0.0,0.051190124816649904,0.004832261843733419,0.0,0.0377185258697663,0.0,0.0007176784010870333,0.0,0.0,0.0,0.009118207218855062,0.001866759402624232,0.016987455196320903,0.0,0.33663238948303764,0.23781400921054152,-0.032758714660271485,4.97195871425396,0.27328639115787057,0.09351459239686816,8.899867211223587,8.54354516613012,0.23488706762595535,0.22771390549874918,0.02619011748038181,1,-0.4389155190587651,-0.4798222691493302,-1.4716278118164288,0.9383654431034592,-0.8529652126743141,-0.5872125741076054,8.899867211223587,0.1736830743956153
4100103,Abatiá,2023,1178548.56,28235.59,0.0,1137178.31,0.0,0.0,0.0,1382366.71,0.0,9030416.49,4930549.55,11211172.79,425658.5,0.0,7623762.22,0.0,2203615.53,218969.88,0.0,1088126.05,0.0,23000.0,0.0,0.0,0.0,390118.87,100238.04,687588.94,0.0,41659546.029999994,7301,16,False,161.42289549376798,3.8673592658539926,0.0,155.75651417614026,0.0,0.0,0.0,189.33936584029584,0.0,1236.8739200109574,675.3252362690042,1535.5667429119299,58.30139706889467,0.0,1044.2079468565948,0.0,301.8237953704972,29.991765511573757,0.0,149.037946856595,0.0,3.1502533899465828,0.0,0.0,0.0,53.43362142172305,13.729357622243528,94.17736474455553,0.0,5706.005482810573,0.028290000067482737,0.0006777699876918223,0.0,0.027296944358949374,0.0,0.0,0.0,0.03318247176780385,0.0,0.2167670402240339,0.11835341524003641,0.26911413729584516,0.010217550131090568,0.0,0.18300156738409856,0.0,0.05289581236466489,0.005256175375562537,0.0,0.02611948889736858,0.0,0.0005520943503185842,0.0,0.0,0.0,0.009364453220855226,0.0024061241552612283,0.016504955178936694,0.0,0.025974136276832267,0.31386042792088376,0.15872094995083924,-0.07733264368520011,0.4033167839984196,0.14176108848428493,8.895903562215581,8.64944973125301,0.2167670402240339,0.26911413729584516,0.027296944358949374,1,-0.3764915561747138,0.21398175124589172,-1.4035651617120977,0.7717080374868567,-0.361455541449694,-0.5732474600772027,8.895903562215581,0.17353287741136736
4100103,Abatiá,2024,1226411.41,23756.09,0.0,1213966.77,0.0,0.0,0.0,1765082.54,0.0,10093079.67,5340997.32,10883436.42,1484167.35,0.0,3837465.9,0.0,2162339.74,416471.4,0.0,91002.71,0.0,22000.0,0.0,0.0,0.0,405917.14,49212.15,1378097.02,0.0,40393403.63,7271,16,False,168.67162838674184,3.267238344106725,0.0,166.96008389492505,0.0,0.0,0.0,242.75650391968094,0.0,1388.128135057076,734.561589877596,1496.8280044010453,204.12148947875122,0.0,527.7769082657131,0.0,297.39234493192134,57.278421125017196,0.0,12.515845138220328,0.0,3.02571860816944,0.0,0.0,0.0,55.826865630587264,6.768278091046624,189.53335442167514,0.0,5555.412409572274,0.030361675416952227,0.0005881180555519332,0.0,0.030053589470197362,0.0,0.0,0.0,0.04369729662219108,0.0,0.2498695025170871,0.13222449311088172,0.26943598315436135,0.036742814831719595,0.0,0.09500229134318186,0.0,0.053532001408122,0.010310381462647742,0.0,0.0022529101739872373,0.0,0.0005446433829027643,0.0,0.0,0.0,0.010049094741264317,0.001218321447996285,0.034116882860955385,0.0,0.1222874964044667,-0.025227648807647017,0.07193002346030304,-0.49456723648341017,0.28212378256533,0.04478910740441138,8.891786635857315,8.622707928904275,0.2498695025170871,0.26943598315436135,0.030053589470197362,1,-0.0749628338454296,0.1407117399461395,-1.3678244116926965,-0.21169661284270272,0.12102654070437378,-0.568209727698125,8.891786635857315,0.17086793456598762
4100202,Adrianópolis,2020,1267007.63,0.0,0.0,7343558.91,0.0,0.0,0.0,327501.01,3048084.19,7059508.32,0.0,5953298.92,0.0,0.0,58192.97,0.0,0.0,5290.0,0.0,8014.5,0.0,0.0,0.0,0.0,0.0,2098196.44,4206.1,3384674.37,0.0,30557533.36,5857,12,False,216.32365204029364,0.0,0.0,1253.8089311934439,0.0,0.0,0.0,55.91617039439986,520.4173109100221,1205.3113061294177,0.0,1016.4416800409766,0.0,0.0,9.935627454328154,0.0,0.0,0.9031927607990439,0.0,1.3683626429912925,0.0,0.0,0.0,0.0,0.0,358.2373979853167,0.7181321495646236,577.8853286665528,0.0,5217.267092368106,0.04146302043012807,0.0,0.0,0.24031909982671457,0.0,0.0,0.0,0.010717521147459528,0.09974902601235351,0.2310235003863545,0.0,0.194822626874488,0.0,0.0,0.0019043739334070387,0.0,0.0,0.00017311606724529157,0.0,0.00026227575064979,0.0,0.0,0.0,0.0,0.0,0.06866380264666755,0.0001376452722949756,0.11076399165223721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.675563527387679,8.559920651118778,0.2310235003863545,0.194822626874488,0.24031909982671457,3,-0.291765758388625,-0.42622311588321593,-0.12988459228277255,-0.553407383337727,-1.104114158011616,0.505562749792325,8.675563527387679,0.17785202291238966
4100202,Adrianópolis,2021,1255332.85,0.0,0.0,9856303.7,0.0,0.0,0.0,615735.15,3466873.12,7763439.53,0.0,6502422.19,65500.0,0.0,338275.45,0.0,0.0,135612.7,0.0,48075.76,0.0,0.0,918.9,0.0,0.0,2879494.39,57108.26,2138806.38,0.0,35123898.38,5797,14,False,216.548706227359,0.0,0.0,1700.2421424874933,0.0,0.0,0.0,106.21617215801277,598.0460790063827,1339.2167552182163,0.0,1121.687457305503,11.298947731585303,0.0,58.35353631188546,0.0,0.0,23.393600138002416,0.0,8.293213731240296,0.0,0.0,0.1585130239779196,0.0,0.0,496.7214749008108,9.85134724857685,368.9505571847507,0.0,6058.978502673797,0.035740134435498845,0.0,0.0,0.28061531192711525,0.0,0.0,0.0,0.017530376137023775,0.0987041097344161,0.2210301216000728,0.0,0.18512814607454173,0.0018648271695631752,0.0,0.009630919846659685,0.0,0.0,0.0038609808778293135,0.0,0.0013687478388610462,0.0,0.0,2.616167459712369e-05,0.0,0.0,0.08198105913094263,0.0016259089290759986,0.06089319462380245,0.0,0.11109615284270866,0.10354335062320882,0.356061597734122,4.87316066148047,0.8995609214441225,0.38657068662934574,8.6652683094816,8.709461531643504,0.2210301216000728,0.18512814607454173,0.28061531192711525,3,-0.09319841276668848,-0.27073366246513464,0.36639689234871475,-0.4452918738716366,-0.7430760564218816,0.8323906498499755,8.6652683094816,0.18374340330038147
4100202,Adrianópolis,2022,1470935.39,0.0,0.0,10163682.43,0.0,0.0,0.0,662541.96,4181419.83,12498875.74,0.0,10052626.08,17245.0,0.0,455943.38,14837.68,0.0,158512.97,0.0,105557.59,0.0,0.0,5503.66,0.0,0.0,4779009.19,74300.0,751949.32,0.0,45392940.22,5974,15,False,246.2228640776699,0.0,0.0,1701.3194559758956,0.0,0.0,0.0,110.90424506193504,699.9363625711417,2092.212209574824,0.0,1682.7295078674256,2.886675594241714,0.0,76.32128891864747,2.4837094074322064,0.0,26.53380816873117,0.0,17.669499497823903,0.0,0.0,0.9212688316036156,0.0,0.0,799.9680599263476,12.437227987947773,125.87032474054234,0.0,7598.416508202209,0.03240449688588161,0.0,0.0,0.22390447458880203,0.0,0.0,0.0,0.014595704900122021,0.09211608258320483,0.27534845020885057,0.0,0.22145791903497017,0.0003799048908579379,0.0,0.010044367643740174,0.00032687197454247657,0.0,0.0034920181251039484,0.0,0.0023254186551566807,0.0,0.0,0.00012124484497646845,0.0,0.0,0.1052808909675867,0.0016368184047981901,0.01656533629140624,0.0,0.5622655566565938,0.500176806745836,0.0006336235654211947,0.3079119748755026,0.044137091449200895,0.6104962244406514,8.695339376799712,8.935826748090502,0.27534845020885057,0.22145791903497017,0.22390447458880203,3,1.0234126710572578,0.5581463558483064,0.36759449755350687,-0.40517050611996974,-0.7094264961435202,1.5480645871794536,8.695339376799712,0.19622196386810037
4100202,Adrianópolis,2023,1540633.07,0.0,0.0,15051441.44,0.0,0.0,0.0,1258922.3,4988652.08,9049831.68,0.0,11158569.26,507999.15,0.0,1760894.94,0.0,0.0,184575.72,0.0,1627504.52,0.0,0.0,61063.31,0.0,0.0,2747007.16,300181.63,753588.79,0.0,50990865.05,6150,14,False,250.5094422764228,0.0,0.0,2447.3888520325204,0.0,0.0,0.0,204.70281300813008,811.1629398373984,1471.5173463414633,0.0,1814.4015056910569,82.60148780487805,0.0,286.3243804878049,0.0,0.0,30.01231219512195,0.0,264.634881300813,0.0,0.0,9.928993495934959,0.0,0.0,446.66783089430896,48.81002113821138,122.53476260162603,0.0,8291.19756910569,0.030213903382288278,0.0,0.0,0.29517917425486,0.0,0.0,0.0,0.024689173222802584,0.09783423119235747,0.17747946953098417,0.0,0.2188346726233859,0.009962552106183577,0.0,0.034533537296794696,0.0,0.0,0.0036197801276564145,0.0,0.031917570302133956,0.0,0.0,0.001197534302274011,0.0,0.0,0.05387253495908284,0.005886968767947976,0.014778897931248178,0.0,-0.29666917169912577,0.07824905738445344,0.4385239899749875,2.751566365617912,0.8457617460342726,-0.4416429189242464,8.724369949208368,9.023070299743809,0.17747946953098417,0.2188346726233859,0.29517917425486,3,0.10298910150045014,0.7526777423247876,1.1969692352434895,0.06375910629367396,-0.03616892724164657,0.7142620698337996,8.724369949208368,0.18309270106750603
4100202,Adrianópolis,2024,1448427.92,0.0,0.0,16599218.57,0.0,0.0,0.0,1071577.85,5246368.2,12799986.57,0.0,9947609.04,110210.92,0.0,6125875.42,0.0,0.0,87763.04,0.0,166694.98,0.0,0.0,38777.2,0.0,0.0,3349532.82,61224.65,1276365.55,0.0,58329632.73,6327,14,False,228.92807333649438,0.0,0.0,2623.5528006954323,0.0,0.0,0.0,169.36586850007905,829.2031294452347,2023.0735846372688,0.0,1572.247358937885,17.419143353880195,0.0,968.2116990674886,0.0,0.0,13.87119329856172,0.0,26.34660660660661,0.0,0.0,6.128844634107791,0.0,0.0,529.4030061640588,9.676726726726727,201.7331357673463,0.0,9219.16117117117,0.02483176821470105,0.0,0.0,0.28457608582648797,0.0,0.0,0.0,0.018371071440826475,0.08994344648602076,0.21944226237887374,0.0,0.17054125963806663,0.001889449921794493,0.0,0.10502166966069976,0.0,0.0,0.0015046047076319384,0.0,0.0028578095249049244,0.0,0.0,0.0006647941738206106,0.0,0.0,0.057424205557825736,0.0010496320160869287,0.021881940452259045,0.0,0.3748214315428245,-0.13346227171529035,0.0719803673685162,2.3815202792649597,-0.17262559311604367,0.1852275215434681,8.75273950944749,9.129147797002103,0.21944226237887374,0.17054125963806663,0.28457608582648797,3,0.9208875436093307,0.39492071966594605,1.3928034692771893,1.5863898143566009,-0.2898067585309028,0.9095203565378692,8.75273950944749,0.1820881673360592
