numprocesso,objeto,orgao,adesao_ata_srp-2023__qtd_registros,alteracoes_ata_srp-2023__qtd_registros,contratos-2023__qtd_registros,empresas_participantes-2023__qtd_registros,itens-2023__qtd_registros,lotes-2023__qtd_registros,orgaos_participantes-2023__qtd_registros,publicidade-2023__qtd_registros,anomaly_score,is_anomalous
3,Registro de Preços por meio de Pregão Eletrônico pelo período de 12 doze meses para futura e eventual prestação de serviços continuados de nutrição cocção e fornecimento de refeições transportadas para atender a demanda dos Presídios Cadeias Carceragens de Delegacias da Polícia Civil de gestão plena do DEPPEN gestão plena da Polícia Civil e as compartilhadas entre a Polícia Civil e o DEPPEN respeitadas as especificações técnicas quantidades condições de fornecimento e acordo de níveis de serviço previstos neste Termo de Referência,SEAP-Secretaria de Estado da Administração e da Previdência,,,6.0,8.0,22.0,22.0,,15.0,0.1553292545654612,1
4,Contratação de serviços de locação de equipamentos multifuncionais monocromáticas e colorida e serviços de cópias de digitalização de softwares que compõe a solução incluindo o fornecimento dos equipamentos novos sem uso e em linha de fabricação bem como a instalação configuração e gestão dos equipamentos e softwares conjuntamente com a manutenção preventiva e corretiva reposição de peças e de todo o material de consumo necessário ao perfeito funcionamento dos equipamentos exceto papel instalação de softwares necessários,SEAP-Secretaria de Estado da Administração e da Previdência,,,6.0,10.0,63.0,60.0,,10.0,-0.062021856466043135,0
11,"Audiência Pública - prestação de serviços de consultoria para apoiar tecnicamente a inovação e transformação digital serviços públicos oferecidos pelo Estado, Assessoramento e elaboração das minutas em nível estadual da Política de Governança de Tecnologia de Informação e Comunicação, Estratégia de Transformação Digital, e Plano Diretor de Transformação Digital, realização de diagnóstico, no âmbito da administração pública direta e indireta do Estado Paraná, dos serviços estaduais oferecidos ao cidadão, definindo o seu conceito, identificando os processos digitalizados, em processo de digitalização e que possuem viabilidade se serem digitalizados, Assessoramento da Secretaria de Estado da Inovação, Modernização e Transformação Digital na construção do plano de ação de transformação digital com base em pesquisa e aplicação da melhores práticas, tendências e oportunidades em transformação digital de serviços, incluindo a definição das",SEIA-Secretaria de Estado da Inovação e Inteligência Artificial (Antigo SEI),,,3.0,31.0,46.0,44.0,,14.0,-0.07741701772180426,0
14,"Contratação de empresa especializada nos serviços de implantação, gestão,
operação e manutenção das unidades de atendimento ao cidadão em municípios do Paraná.",SEAP-Secretaria de Estado da Administração e da Previdência,,,3.0,11.0,22.0,22.0,,16.0,-0.09764228930690716,0
3,"Contratação de Consultor Individual, com formação técnico profissional especializada, portador do título de Engenheiro Civil, com perfil profissional Sênior, legalmente habilitado para o exercício da função de assessoria técnica com a finalidade de prestar serviços especializados inerentes a sua esfera de atribuiçoes - cf. regulamentadas na Lei n 5194/1966.",SESP-Secretaria de Estado da Segurança Pública,,,6.0,8.0,22.0,22.0,,15.0,0.1553292545654612,1
3,"Contratação Integrada de empresa para elaboração dos Projetos Básico e Executivo e execução das obras de implantação de Variante na PR-364, desviando da área urbana do Bairro Riozinho no município de Irati, com uma extensão de 1,64 km.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,6.0,8.0,22.0,22.0,,15.0,0.1553292545654612,1
7,"Edital de licitação na modalidade de concorrência para contratação de empresas especializadas em serviços de engenharia, abrangendo confecção de projetos, laudos e execução de serviços de reforma predial, incluindo fornecimento de materiais, nos campi de Paranaguá, Campo Mourão, Curitiba e Paranavaí da UNESPAR. Este edital está fundamentado na Lei Federal 14.133/2021 e no Decreto Estadual 10.086/2022.",UNESPAR-Universidade Estadual do Paraná,9.0,8.0,29.0,21.0,22.0,22.0,24.0,10.0,-0.042616526376599184,0
9,"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA REPINTURA E MANUTENCAO EM EDIFICACOES DO CAMPUS CEDETEG DA UNICENTRO, EM GUARAPUAVA PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,15.0,61.0,14.0,123.0,571.0,453.0,902.0,16.0,0.23091904465668178,1
11,"CONSTRUÇÃO DE COMPLEMENTO DA PISTA DE ATLETISMO - ARQUIBANCADA, ALMOXARIFADO E TORRE DE MONITORAMENTO - TOTALIZANDO 633,78 M2, DO CENTRO DE EDUCAÇÃO FÍSICA E ESPORTE-CEFE.",UEL-Universidade Estadual de Londrina,,,3.0,31.0,46.0,44.0,,14.0,-0.07741701772180426,0
12,"Contratação de empresa especializada em serviços de engenharia para execução da construção da Unidade Nova Escolar para a Escola Estadual Deputado Anibal Khury, situado na Rua Euclides Penteado de Almeida, s/n, Balneário Coroados, fone 41 3420-7266 NRE de Paranaguá, no Município de Guaratuba, Estado do Paraná",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,112.0,2.0,14.0,311.0,239.0,298.0,762.0,11.0,0.21829164110002575,1
