numprocesso,objeto,orgao,datahomologacao,registrodepreco,tempoprazocontrato,valor_estimado,valor_ou_desconto_homologado,dataabertura,datahomologacao__dup1,adesao_ata_srp-2025__qtd_registros,adesao_ata_srp-2025__sum_lote_num,adesao_ata_srp-2025__mean_lote_num,adesao_ata_srp-2025__sum_classeitem_num,adesao_ata_srp-2025__mean_classeitem_num,adesao_ata_srp-2025__sum_numeroitem_num,adesao_ata_srp-2025__mean_numeroitem_num,adesao_ata_srp-2025__sum_item_num,adesao_ata_srp-2025__mean_item_num,adesao_ata_srp-2025__sum_quantidade_num,adesao_ata_srp-2025__mean_quantidade_num,adesao_ata_srp-2025__sum_valorunitario_num,adesao_ata_srp-2025__mean_valorunitario_num,alteracoes_ata_srp-2025__qtd_registros,contratos-2025__qtd_registros,contratos-2025__sum_numcontrato_num,contratos-2025__mean_numcontrato_num,contratos-2025__sum_anocontrato_num,contratos-2025__mean_anocontrato_num,empresas_participantes-2025__qtd_registros,empresas_participantes-2025__sum_nrlote_num,empresas_participantes-2025__mean_nrlote_num,empresas_participantes-2025__sum_cnpjcpfparticipante_num,empresas_participantes-2025__mean_cnpjcpfparticipante_num,empresas_participantes-2025__sum_razaosocialnomeparticipante_num,empresas_participantes-2025__mean_razaosocialnomeparticipante_num,empresas_participantes-2025__sum_valorpropostolote_num,empresas_participantes-2025__mean_valorpropostolote_num,itens-2025__qtd_registros,itens-2025__sum_nrlote_num,itens-2025__mean_nrlote_num,itens-2025__sum_classeitem_num,itens-2025__mean_classeitem_num,itens-2025__sum_numeroitem_num,itens-2025__mean_numeroitem_num,itens-2025__sum_item_num,itens-2025__mean_item_num,itens-2025__sum_quantidade_num,itens-2025__mean_quantidade_num,itens-2025__sum_valor_estimado_unitario_num,itens-2025__mean_valor_estimado_unitario_num,itens-2025__sum_valor_ou_desconto_homologado_unitario_num,itens-2025__mean_valor_ou_desconto_homologado_unitario_num,lotes-2025__qtd_registros,lotes-2025__sum_nrlote_num,lotes-2025__mean_nrlote_num,lotes-2025__sum_valor_estimado_num,lotes-2025__mean_valor_estimado_num,lotes-2025__sum_valor_ou_desconto_homologado_num,lotes-2025__mean_valor_ou_desconto_homologado_num,orgaos_participantes-2025__qtd_registros,orgaos_participantes-2025__sum_nrlote_num,orgaos_participantes-2025__mean_nrlote_num,orgaos_participantes-2025__sum_classeitem_num,orgaos_participantes-2025__mean_classeitem_num,orgaos_participantes-2025__sum_numeroitem_num,orgaos_participantes-2025__mean_numeroitem_num,orgaos_participantes-2025__sum_item_num,orgaos_participantes-2025__mean_item_num,orgaos_participantes-2025__sum_quantidadeprevista_num,orgaos_participantes-2025__mean_quantidadeprevista_num,publicidade-2025__qtd_registros,_filtro_obras_aplicado,anomaly_score,is_anomalous
3,"Audiência Pública que visa obter contribuições para compor o Estudo Técnico Preliminar e Termo de Referência para posterior Registro de Preços pelo período de 1 ano, prorrogável por igual período, na forma do Art. 84 da Lei Federal nº 14.133/2021, para futura e eventual Contratação do Serviço Contínuo de Gerenciamento da Manutenção Preventiva e Corretiva da Frota de Veículos dos Órgãos e Entidades do Poder Executivo do Estado do Paraná.",SEAP-Secretaria de Estado da Administração e da Previdência,nan,Não,nan,0.00,nan,2025-06-04,nan,,,,,,,,,,,,,,,,,,,,15.0,106.0,7.066666666666666,75937805013027.0,5062520334201.8,,,2527918.04,168527.86933333334,33.0,185.0,5.606060606060606,50073.0,1517.3636363636363,1899391.0,57557.30303030303,,,18692.0,566.4242424242424,339944915.40000004,17891837.65263158,2527918.04,168527.86933333334,33.0,185.0,5.606060606060606,340875369.67,17940808.93,2527918.04,168527.86933333334,47.0,47.0,1.0,18894.0,402.0,862121.0,18343.0,,,183771102.0,3910023.4468085105,,True,-0.07811761308100718,0
6,"Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Francisco Beltrão, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-04-14,nan,,,,,,,,,,,,,,,,,,,,17.0,92.0,5.411764705882353,266479352378783.0,15675256022281.354,,,55524952.75,3266173.6911764704,65.0,253.0,3.8923076923076922,316378.0,4867.3538461538465,5192314.0,79881.75384615385,,,655369.0,10082.6,8576861.749,131951.71921538463,92301.18,4615.058999999999,38.0,184.0,4.842105263157895,85700711.44,2255281.88,55524952.75,3266173.6911764704,40.0,202.0,5.05,300106.0,7502.65,3372150.0,84303.75,,,643100.0,16077.5,,True,0.004112933869771185,1
7,"Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Industrial de Guarapuava, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-05-26,nan,,,,,,,,,,,,,,,1.0,268.0,268.0,2025.0,2025.0,9.0,31.0,3.4444444444444446,279247602001078.0,31027511333453.11,,,778460.0,86495.55555555556,18.0,46.0,2.5555555555555554,18182.0,1010.1111111111111,1089062.0,60503.444444444445,,,21917.0,1217.611111111111,13750.1058,808.8297529411765,2963.65,329.2944444444445,15.0,40.0,2.6666666666666665,4317607.0,308400.5,778460.0,86495.55555555556,7.0,28.0,4.0,4748.0,678.2857142857143,429767.0,61395.28571428572,,,5600.0,800.0,,True,-0.1978491939287833,0
10,"Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Central do Estado - Unidade de Progressão - PCE-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-05-26,nan,,,,,,,,,,,,,,,2.0,4408.0,2204.0,4050.0,2025.0,7.0,9.0,1.2857142857142858,148058807367882.0,21151258195411.715,,,49390584.0,7055797.714285715,10.0,11.0,1.1,2164.0,216.4,824504.0,82450.4,,,13124.0,1312.4,5272003.279999999,527200.328,743801.0,106257.28571428571,7.0,8.0,1.1428571428571428,24011589.14,3430227.02,17166984.0,4291746.0,5.0,6.0,1.2,678.0,135.6,497295.0,99459.0,,,13103.0,2620.6,,True,-0.12775933093340974,0
11,"Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Ponta Grossa - Unidade de Segurança II - PEPG - US II, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-05-26,nan,,,,,,,,,,,,,,,8.0,31458.0,3932.25,16200.0,2025.0,9.0,30.0,3.3333333333333335,288227779001056.0,32025308777895.11,,,41997071.06,4666341.228888889,19.0,54.0,2.8421052631578947,7116.0,374.5263157894737,1419052.0,74686.94736842105,,,19889.0,1046.7894736842106,46588500.81,2452026.358421053,40950864.21,3722805.8372727274,13.0,37.0,2.8461538461538463,54326469.72,4178959.209230769,41997071.06,4666341.228888889,,,,,,,,,,,,,True,-0.044397477761283666,0
12,"Chamamento Público para seleção de interessados na utilização de espaços públicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Feminina de Piraquara II - Centro de Integração Social, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-05-30,nan,,,,,,,,,,,,,,,,,,,,258.0,32052.0,124.23255813953489,5676986277041302.0,22003822779229.85,70.0,2.0,168389.87,652.6739147286821,316.0,31392.0,99.34177215189874,1656463.0,5241.971518987341,21581236.0,68295.0506329114,,,63462.0,200.82911392405063,123695.6,397.73504823151126,9548.3,38.501209677419354,279.0,32226.0,115.50537634408602,12755410.97,45882.773273381295,168389.87,652.6739147286821,,,,,,,,,,,,,True,0.21544113462312842,1
13,"Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária de Integração Social de Piraquara - PISP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-05-30,nan,,,,,,,,,,,,,,,3.0,8172.0,2724.0,6075.0,2025.0,4.0,5.0,1.25,194910337000825.0,48727584250206.25,,,3240000.0,810000.0,6.0,7.0,1.1666666666666667,1618.0,269.6666666666667,328512.0,54752.0,,,96323.0,16053.833333333334,923671.92,153945.32,600135.895,150033.97375,6.0,7.0,1.1666666666666667,6484908.64,1080818.1066666667,3240000.0,810000.0,,,,,,,,,,,,,True,-0.20068637699272668,0
14,"Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Cadeia Pública de Loanda, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-06-02,nan,,,,,,,,,,,,,,,3.0,9518.0,3172.6666666666665,6075.0,2025.0,72.0,2487.0,34.541666666666664,2059042959009167.0,28597818875127.32,,,2208989.96,30680.41611111111,74.0,2489.0,33.63513513513514,51486.0,695.7567567567568,4976121.0,67244.87837837837,,,2771.0,37.445945945945944,2001550.13,27047.97472972973,1587416.64,22047.45333333333,74.0,2489.0,33.63513513513514,3690253.37,49868.288783783784,2208989.96,30680.41611111111,,,,,,,,,,,,,True,0.00504263940214833,1
15,"Chamamento Público para seleção de interessados na utilização de espaços públicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Feminina do Paraná - PFP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-06-02,nan,,,,,,,,,,,,,,,1.0,4254.0,4254.0,2025.0,2025.0,2.0,2.0,1.0,114332791000253.0,57166395500126.5,,,95806000.0,47903000.0,3.0,3.0,1.0,9951.0,3317.0,97666.0,32555.333333333332,,,4502.0,1500.6666666666667,107691080.97999999,35897026.99333333,95680028.0,47840014.0,3.0,3.0,1.0,107849633.77,35949877.92333333,95806000.0,47903000.0,1.0,1.0,1.0,8910.0,8910.0,10465.0,10465.0,,,4500.0,4500.0,,True,0.11587189815049437,1
16,"Chamamento Público para seleção de interessados na utilização de espaços públicos para a uso de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Francisco Beltrão - PEFB, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.",SESP-Secretaria de Estado da Segurança Pública,nan,Não,60 Mês(es),1518.00,nan,2025-06-13,nan,,,,,,,,,,,,,,,3.0,9471.0,3157.0,6075.0,2025.0,3.0,3.0,1.0,38885619002401.0,12961873000800.334,,,2852354.8200000003,950784.9400000001,15.0,15.0,1.0,56556.0,3770.4,732684.0,48845.6,,,11332.0,755.4666666666667,2696180.7399999998,192584.33857142855,1993733.2,166144.43333333332,6.0,6.0,1.0,5385243.9,1077048.78,2852354.8200000003,950784.9400000001,1.0,1.0,1.0,8910.0,8910.0,1242.0,1242.0,,,360.0,360.0,,True,-0.2014249846380709,0
